Column1,ProceedingsTitle,Proceedings,Vol_Number,Year,persistent_url
28320,"Proceedings of the 10th International Workshop on Scalable Semantic Web Knowledge Base Systems co-located with 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 20, 2014.",CEUR Workshop Proceedings,1261,2014,https://dblp.org/db/conf/semweb/ssws2014.html
28347,"Proceedings of the Doctoral Consortium at the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 20, 2014.",CEUR Workshop Proceedings,1262,2014,https://dblp.org/db/conf/semweb/dc2014.html
28373,"Working Notes Proceedings of the MediaEval 2014 Workshop, Barcelona, Catalunya, Spain, October 16-17, 2014.",CEUR Workshop Proceedings,1263,2014,https://dblp.org/db/conf/mediaeval/mediaeval2014.html
28400,"Proceedings of the 5th International Workshop on Consuming Linked Data (COLD 2014) co-located with the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 20, 2014.",CEUR Workshop Proceedings,1264,2014,https://dblp.org/db/conf/semweb/cold2014.html
28427,"Proceedings of the 11th International Workshop on OWL: Experiences and Directions (OWLED 2014) co-located with 13th International Semantic Web Conference on (ISWC 2014), Riva del Garda, Italy, October 17-18, 2014.",CEUR Workshop Proceedings,1265,2014,https://dblp.org/db/conf/owled/owled2014.html
28454,"Proceedings of the 3rd Workshop on Software Quality Analysis, Monitoring, Improvement and Applications (SQAMIA 2014), Lovran, Croatia, September 19-22, 2014.",CEUR Workshop Proceedings,1266,2014,https://dblp.org/db/conf/sqamia/sqamia2014.html
28481,"Proceedings of the Second International Workshop on Linked Data for Information Extraction (LD4IE 2014) co-located with the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 20, 2014.",CEUR Workshop Proceedings,1267,2014,https://dblp.org/db/conf/semweb/ld4ie2014.html
28508,"Proceedings of the ISWC Developers Workshop 2014, co-located with the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 19, 2014.",CEUR Workshop Proceedings,1268,2014,https://dblp.org/db/conf/semweb/dev2014.html
28535,"Proceedings of the 23th International Workshop on Concurrency, Specification and Programming, Chemnitz, Germany, September 29 - October 1, 2014.",CEUR Workshop Proceedings,1269,2014,https://dblp.org/db/conf/csp/csp2014.html
28562,"Proceedings of the 9th Workshop on Models@run.time co-located with 17th International Conference on Model Driven Engineering Languages and Systems (MODELS 2014), Valencia, Spain, September 30, 2014.",CEUR Workshop Proceedings,1270,2014,https://dblp.org/db/conf/models/runtime2014.html
28589,"Proceedings of the 6th Workshop on Recommender Systems and the Social Web (RSWeb 2014) co-located with the 8th ACM Conference on Recommender Systems (RecSys 2014), Foster City, CA, USA, October 6, 2014.",CEUR Workshop Proceedings,1271,2014,https://dblp.org/db/conf/recsys/rsweb2014.html
28616,"Proceedings of the ISWC 2014 Posters &amp; Demonstrations Track a track within the 13th International Semantic Web Conference, ISWC 2014, Riva del Garda, Italy, October 21, 2014.",CEUR Workshop Proceedings,1272,2014,https://dblp.org/db/conf/semweb/iswc2014p.html
28643,"Proceedings of the Workshop on Geographic Information Observatories 2014 co-located with the 8th International Conference on Geographic Information Science (GIScience 2014), Vienna, Austria, September 23, 2014.",CEUR Workshop Proceedings,1273,2014,https://dblp.org/db/conf/giscience/gio2014.html
28670,"Proceedings of the UAI 2014 Workshop Causal Inference: Learning and Prediction co-located with 30th Conference on Uncertainty in Artificial Intelligence (UAI 2014), Quebec City, Canada, July 27, 2014.",CEUR Workshop Proceedings,1274,2014,https://dblp.org/db/conf/uai/ci2014.html
28697,"Proceedings of the Third International Workshop on Semantic Web Collaborative Spaces co-located with the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 19, 2014.",CEUR Workshop Proceedings,1275,2014,https://dblp.org/db/conf/semweb/swcs2014.html
28724,"Proceedings of the Medical Information Retrieval Workshop at SIGIR co-located with the 37th annual international ACM SIGIR conference (ACM SIGIR 2014), Gold Coast, Australia, July 11, 2014.",CEUR Workshop Proceedings,1276,2014,https://dblp.org/db/conf/sigir/medir2014.html
28751,"Proceedings of the Workshop on Analysis of Model Transformations co-located with ACM/IEEE 17th International Conference on Model Driven Engineering Languages &amp; Systems (MoDELS 2014), Valencia, Spain, September 29, 2014.",CEUR Workshop Proceedings,1277,2014,https://dblp.org/db/conf/models/amt2014.html
28778,"Proceedings of the First International Workshop on Decision Making and Recommender Systems (DMRS2014), Bolzano, Italy, September 18-19, 2014.",CEUR Workshop Proceedings,1278,2014,https://dblp.org/db/conf/dmrs/dmrs2014.html
28805,"Proceedings of the 3rd International Workshop on Intelligent Exploration of Semantic Data (IESD 2014) co-located with the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 20, 2014.",CEUR Workshop Proceedings,1279,2014,https://dblp.org/db/conf/semweb/iesd2014.html
28832,"Proceedings of the Fifth Workshop on Semantics for Smarter Cities a Workshop at the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 19, 2014.",CEUR Workshop Proceedings,1280,2014,https://dblp.org/db/conf/semweb/s4sc2014.html
28859,"Proceedings of the 1st International Workshop on Model-Driven Engineering for Component-Based Software Systems co-located with ACM/IEEE 17th International Conference on Model Driven Engineering Languages &amp; Systems (MoDELS 2014), Valencia, Spain, September 29, 2014.",CEUR Workshop Proceedings,1281,2014,https://dblp.org/db/conf/models/modcomp2014.html
28886,"Proceedings of the 4th Workshop on Linked Science 2014 - Making Sense Out of Data (LISC2014) co-located with the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 19, 2014.",CEUR Workshop Proceedings,1282,2014,https://dblp.org/db/conf/semweb/lisc2014.html
28913,"Proceedings of the European Conference on Social Intelligence (ECSI-2014), Barcelona, Spain, November 3-5, 2014.",CEUR Workshop Proceedings,1283,2014,https://dblp.org/db/conf/ecsi/ecsi2014.html
28940,"Proceedings of the 4th International Conference on the Quality of Information and Communications Technology, Lisboa, Portugal, March 12-14, 2001.",CEUR Workshop Proceedings,1284,2014,https://dblp.org/db/conf/quatic/quatic2001.html
28967,"Proceedings of the 14th International Workshop on OCL and Textual Modelling co-located with 17th International Conference on Model Driven Engineering Languages and Systems (MODELS 2014), Valencia, Spain, September 30, 2014.",CEUR Workshop Proceedings,1285,2014,https://dblp.org/db/conf/models/ocl2014.html
28994,"Proceedings of the Workshop on Multi-Level Modelling co-located with ACM/IEEE 17th International Conference on Model Driven Engineering Languages &amp; Systems (MoDELS 2014), Valencia, Spain, September 28, 2014.",CEUR Workshop Proceedings,1286,2014,https://dblp.org/db/conf/models/multi2014.html
29021,"Proceedings of the Ninth Latin American Workshop on Logic/Languages, Algorithms and New Methods of Reasoning, Valle de Bravo, Mexico, November 5-7, 2014.",CEUR Workshop Proceedings,1287,2014,https://dblp.org/db/conf/lanmr/lanmr2014.html
29048,"Actes de la 2ème Journée AIM de recherche Serious Games et innovation, Paris, France, September 18, 2014.",CEUR Workshop Proceedings,1288,2014,https://dblp.org/db/conf/aim/sg2014.html
29075,"Proceedings of 10th Workshop on Knowledge Engineering and Software Engineering (KESE10) co-located with 21st European Conference on Artificial Intelligence (ECAI 2014), Prague, Czech Republic, August 19 2014.",CEUR Workshop Proceedings,1289,2014,https://dblp.org/db/conf/ecai/kese2014.html
29102,"Proceedings of the 1st Workshop on Open Source Software for Model Driven Engineering co-located with ACM/IEEE 17th International Conference on Model Driven Engineering Languages &amp; Systems, OSS4MDE@MoDELS 2014, Valencia, Spain, September 28, 2014.",CEUR Workshop Proceedings,1290,2014,https://dblp.org/db/conf/models/oss4mde2014.html
29129,"Proceedings of the Embed With Linux 2014 Workshop, Lisboa, Portugal, November 13-14, 2014.",CEUR Workshop Proceedings,1291,2014,https://dblp.org/db/conf/ewili/ewili2014.html
29156,"Proceedings of the First International Workshop on Patent Mining and Its Applications (IPaMin 2014) co-located with Konvens 2014, Hildesheim, Germany, October 6-7, 2014.",CEUR Workshop Proceedings,1292,2014,https://dblp.org/db/conf/konvens/ipamin2014.html
29183,"Proceedings of the 4th International Symposium on Data-driven Process Discovery and Analysis (SIMPDA 2014), Milan, Italy, November 19-21, 2014.",CEUR Workshop Proceedings,1293,2014,https://dblp.org/db/conf/simpda/simpda2014.html
29210,"Proceedings of the 1st International Conference on Advanced Aspects of Software Engineering, ICAASE 2014, Constantine, Algeria, November 2-4, 2014.",CEUR Workshop Proceedings,1294,2014,https://dblp.org/db/conf/icaase/icaase2014.html
29237,"Proceedings of the BPM Demo Sessions 2014 Co-located with the 12th International Conference on Business Process Management (BPM 2014), Eindhoven, The Netherlands, September 10, 2014.",CEUR Workshop Proceedings,1295,2014,https://dblp.org/db/conf/bpm/bpmd2014.html
29264,"Proceedings of the Semantic Web for the Law and Second Doctoral Consortium Workshops Co-located with 27th International Conference on Legal Knowledge and Information Systems, Krakow, Poland, December 10th-12th, 2014.",CEUR Workshop Proceedings,1296,2014,https://dblp.org/db/conf/jurix/sw4law2014.html
29291,"Selected Papers of XVI All-Russian Scientific Conference ""Digital libraries: Advanced Methods and Technologies, Digital Collections"", Dubna, Russia, October 13-16, 2014.",CEUR Workshop Proceedings,1297,2014,https://dblp.org/db/conf/rcdl/rcdl2014.html
29318,"Proceedings of the 2014 ESSoS Doctoral Symposium co-located with the International Symposium on Engineering Secure Software and Systems (ESSoS 2014), Munich, Germany, February 26, 2014.",CEUR Workshop Proceedings,1298,2014,https://dblp.org/db/conf/essos/ds2014.html
29345,"Proceedings of the International Workshop on Visualizations and User Interfaces for Knowledge Engineering and Linked Data Analytics co-located with 19th International Conference on Knowledge Engineering and Knowledge Management, VISUAL@EKAW 2014, Linköping, Sweden, November 24, 2014.",CEUR Workshop Proceedings,1299,2014,https://dblp.org/db/conf/ekaw/visual2014.html
29372,"Proceedings of the INCOSE Italia Conference on Systems Engineering, CIISE 2014, Rome, Italy, November 24-25, 2014.",CEUR Workshop Proceedings,1300,2014,https://dblp.org/db/conf/ciise/ciise2014.html
29399,"Proceedings of the 1st Joint Workshop ONTO.COM / ODISE on Ontologies in Conceptual Modeling and Information Systems Engineering co-located with 8th International Conference on Formal Ontology in Information Systems, ONTO.COM/ODISE@FOIS 2014, Rio de Janeiro, Brazil, September 21, 2014.",CEUR Workshop Proceedings,1301,2014,https://dblp.org/db/conf/fois/ontocomodise2014.html
29426,"Proceedings of the 5th Workshop on Ontology and Semantic Web Patterns (WOP2014) co-located with the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 19, 2014.",CEUR Workshop Proceedings,1302,2014,https://dblp.org/db/conf/semweb/wop2014.html
29453,"Proceedings of the 3rd International Workshop on Ordering and Reasoning Co-located with the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Italy, October 20th, 2014.",CEUR Workshop Proceedings,1303,2014,https://dblp.org/db/conf/semweb/ordring2014.html
29480,"Proceedings of the Ninth Conference on Semantic Technology for Intelligence, Defense, and Security, Fairfax VA, USA, November 18-21, 2014.",CEUR Workshop Proceedings,1304,2014,https://dblp.org/db/conf/stids/stids2014.html
29507,"Proceedings of the 7th Transformation Tool Contest part of the Software Technologies: Applications and Foundations (STAF 2014) federation of conferences, York, United Kingdom, July 25, 2014.",CEUR Workshop Proceedings,1305,2014,https://dblp.org/db/conf/staf/tcc2014.html
29534,"Proceedings of the 4th International Workshop on Semantic Digital Archives (SDA 2014) co-located with the International Digital Libraries Conference (DL 2014), London, UK, September 12, 2014.",CEUR Workshop Proceedings,1306,2014,https://dblp.org/db/conf/ercimdl/sda2014.html
29561,"Proceedings of the Geospatial Science Research 3 Symposium, GSR 2014, Melbourne, Australia, December 2-3, 2014.",CEUR Workshop Proceedings,1307,2014,https://dblp.org/db/conf/gsr/gsr2014.html
29588,"Proceedings of the Tenth Spring Researchers Colloquium on Databases and Information Systems, SYRCoDIS 2014, Veliky Novgorod, Russia, May 30, 2014.",CEUR Workshop Proceedings,1308,2014,https://dblp.org/db/conf/syrcodis/syrcodis2014.html
29638,"Proceedings of the Workshop on Surfacing the Deep and the Social Web co-located with the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Trentino, Italy, October 19, 2014.",CEUR Workshop Proceedings,1310,2014,https://dblp.org/db/conf/semweb/sdsw2014.html
29688,"Workshop and Poster Proceedings of the 4th Joint International Semantic Technology Conference, JIST 2014, Chiang Mai, Thailand, November 9-11, 2014.",CEUR Workshop Proceedings,1312,2014,https://dblp.org/db/conf/jist/jist2014wp.html
29715,"Proceedings of the 26th GI-Workshop Grundlagen von Datenbanken, Bozen-Bolzano, Italy, October 21st to 24th, 2014.",CEUR Workshop Proceedings,1313,2014,https://dblp.org/db/conf/gvd/gvd2014.html
29742,"Proceedings of the 8th International Workshop on Information Filtering and Retrieval co-located with XIII AI*IA Symposium on Artificial Intelligence (AI*IA 2014), Pisa, Italy, December 10, 2014.",CEUR Workshop Proceedings,1314,2014,https://dblp.org/db/conf/aiia/dart2014c.html
29768,"Proceedings of the Second International Workshop on Artificial Intelligence and Cognition (AIC 2014), Torino, Italy, November 26-27, 2014.",CEUR Workshop Proceedings,1315,2014,https://dblp.org/db/conf/aic/aic2014.html
29795,"Proceedings of the 2nd Workshop on Society, Privacy and the Semantic Web - Policy and Technology (PrivOn 2014) co-located with the 13th International Semantic Web Conference (ISWC 2014), Trento, Italy, October 20, 2014.",CEUR Workshop Proceedings,1316,2014,https://dblp.org/db/conf/semweb/privon2014.html
29822,"Proceedings of the 9th International Workshop on Ontology Matching collocated with the 13th International Semantic Web Conference (ISWC 2014), Riva del Garda, Trentino, Italy, October 20, 2014.",CEUR Workshop Proceedings,1317,2014,https://dblp.org/db/conf/semweb/om2014.html
29849,"Proceedings of the 1st Symposium on Information Management and Big Data - SIMBig 2014, Cusco, Peru, October 8-10, 2014.",CEUR Workshop Proceedings,1318,2014,https://dblp.org/db/conf/simbig/simbig2014.html
29876,"Proceedings of the 1st International Workshop on Model-Driven Robot Software Engineering co-located with International Conference on Software Technologies: Applications and Foundations, MORSE@STAF 2014, York, UK, July 21, 2014.",CEUR Workshop Proceedings,1319,2015,https://dblp.org/db/conf/staf/morse2014.html
29902,"Proceedings of the 7th International Workshop on Semantic Web Applications and Tools for Life Sciences, Berlin, Germany, December 9-11, 2014.",CEUR Workshop Proceedings,1320,2014,https://dblp.org/db/conf/swat4ls/swat4ls2014.html
29929,"Proceedings of Doctoral Symposium co-located with 17th International Conference on Model Driven Engineering Languages and Systems (2014), Valencia, Spain, September 30, 2014.",CEUR Workshop Proceedings,1321,2015,https://dblp.org/db/conf/models/docsym2014.html
29980,"Proceedings of the International Workshop on Tactile/Haptic User Interfaces for Tabletops and Tablets, held in conjunction with ACM ITS 2014, Dresden, Germany, November 16, 2014.",CEUR Workshop Proceedings,1324,2015,https://dblp.org/db/conf/tabletop/tactt2014.html
30007,"Proceedings of the Third International Workshop on Verification of Model Transformations co-located with Software Technologies: Applications and Foundations, VOLT@STAF 2014, York, UK, July 21, 2014.",CEUR Workshop Proceedings,1325,2015,https://dblp.org/db/conf/staf/volt2014.html
30034,"Proceedings of Student Research Forum Papers and Posters at SOFSEM 2015, the 41st International Conference on Current Trends in Theory and Practice of Computer Science (SOFSEM 2015) , Pec pod Snezkou, Czech Republic, January 24-29, 2015.",CEUR Workshop Proceedings,1326,2015,https://dblp.org/db/conf/sofsem/sofsem2015srf.html
30061,"Proceedings of the 5th International Conference on Biomedical Ontology, ICBO 2014, Houston, Texas, USA, October 8-9, 2014.",CEUR Workshop Proceedings,1327,2015,https://dblp.org/db/conf/icbo/icbo2014.html
30088,"Proceedings of the Geospatial Science Research 2 Symposium, GSR 2012, Melbourne, Australia, December 10-12, 2012.",CEUR Workshop Proceedings,1328,2015,https://dblp.org/db/conf/gsr/gsr2012.html
30115,"Joint Proceedings of the 1th Workshop on Semantic Sentiment Analysis (SSA2014), and the Workshop on Social Media and Linked Data for Emergency Response (SMILE 2014) co-located with 11th European Semantic Web Conference (ESWC 2014), Crete, Greece, May 25th, 2014.",CEUR Workshop Proceedings,1329,2015,https://dblp.org/db/conf/esws/ssa-smile2014.html
30142,"Proceedings of the Workshops of the EDBT/ICDT 2015 Joint Conference (EDBT/ICDT), Brussels, Belgium, March 27th, 2015.",CEUR Workshop Proceedings,1330,2015,https://dblp.org/db/conf/edbt/edbtw2015.html
30169,"Proceedings of the Workshop on Models and Evolution co-located with ACM/IEEE 17th International Conference on Model Driven Engineering Languages and Systems (MoDELS 2014), Valencia, Spain, Sept 28, 2014.",CEUR Workshop Proceedings,1331,2015,https://dblp.org/db/conf/models/me2014.html
30196,"Tagungsband des 14. Workshops ""Software Engineering im Unterricht der Hochschulen"" 2015, Dresden, Deutschland, 26. - 27. Februar 2015.",CEUR Workshop Proceedings,1332,2015,https://dblp.org/db/conf/seuh/seuh2015.html
30223,"Proceedings of the 6th Workshop on Formal Ontologies meet Industry co-located with 8th International Conference on Formal Ontology in Information Systems (FOIS 2014), Rio de Janeiro, Brazil, September 22nd, 2014.",CEUR Workshop Proceedings,1333,2015,https://dblp.org/db/conf/fois/fomi2014.html
30250,"Proceedings of the Second Doctoral Workshop in Artificial Intelligence (DWAI 2014) An official workshop of the 13th Symposium of the Italian Association for Artificial Intelligence ""Artificial Intelligence for Society and Economy"" (AI*IA 2014), Pisa, Italy, December 11, 2014.",CEUR Workshop Proceedings,1334,2015,https://dblp.org/db/conf/aiia/dwai2014.html
30277,"Proceedings of the 28th Workshop on (Constraint) Logic Programming (WLP 2014) Proceedings of the 23rd International Workshop on Functional and (Constraint) Logic Programming, Wittenberg, Germany, September 15-17, 2014.",CEUR Workshop Proceedings,1335,2015,https://dblp.org/db/conf/wlp/wlp2014.html
30328,"Gemeinsamer Tagungsband der Workshops der Tagung Software Engineering 2015, Dresden, Germany, 17.-18. März 2015.",CEUR Workshop Proceedings,1337,2015,https://dblp.org/db/conf/se/se2015w.html
30355,"Proceedings of the First International Workshop on Supporting Complex Search Tasks co-located with the 37th European Conference on Information Retrieval (ECIR 2015), Vienna, Austria, March 29, 2015.",CEUR Workshop Proceedings,1338,2015,https://dblp.org/db/conf/ecir/scst2015.html
30382,"Proceedings of the 1st International Workshop on Semantic Technologies (IWOST), Changchun, China, March 9-12, 2015.",CEUR Workshop Proceedings,1339,2015,https://dblp.org/db/conf/iwost/iwost2015.html
30409,"Proceedings of the First International Workshop on Combining Modelling with Search- and Example-Based Approaches co-located with 17th International Conference on Model Driven Engineering Languages and Systems (MODELS 2014), Valencia, Spain, September 28, 2014.",CEUR Workshop Proceedings,1340,2015,https://dblp.org/db/conf/models/cmseba2014.html
30436,"Proceedings of the Workshop on Frontiers and Connections between Argumentation Theory and Natural Language Processing, Forlì-Cesena, Italy, July 21-25, 2014.",CEUR Workshop Proceedings,1341,2015,https://dblp.org/db/conf/argnlp/argnlp2014.html
30463,"Joint Proceedings of REFSQ-2015 Workshops, Research Method Track, and Poster Track co-located with the 21st International Conference on Requirements Engineering: Foundation for Software Quality (REFSQ 2015), Essen, Germany, March 23, 2015.",CEUR Workshop Proceedings,1342,2015,https://dblp.org/db/conf/refsq/refsq2015w.html
30490,"Proceedings of the Dateso 2015 Annual International Workshop on DAtabases, TExts, Specifications and Objects, Neprivec u Sobotky, Jicin, Czech Republic, April 14, 2015.",CEUR Workshop Proceedings,1343,2015,https://dblp.org/db/conf/dateso/dateso2015.html
30517,"Proceedings of the Second Workshop on Bibliometric-enhanced Information Retrieval co-located with the 37th European Conference on Information Retrieval (ECIR 2015), Vienna, Austria, March 29th, 2015.",CEUR Workshop Proceedings,1344,2015,https://dblp.org/db/conf/ecir/bir2015.html
30544,"Proceedings of the Second International Workshop on Gamification for Information Retrieval co-located with the 37th European Conference on Information Retrieval (ECIR 2015), Vienna, Austria, March 29, 2015.",CEUR Workshop Proceedings,1345,2015,https://dblp.org/db/conf/ecir/gamifir2015.html
30571,"Proceedings of the MODELS Educators Symposium co-located with the ACM/IEEE 17th International Conference on Model Driven Engineering Languages and Systems (MODELS 2014), Valencia, Spain, September 29, 2014.",CEUR Workshop Proceedings,1346,2014,https://dblp.org/db/conf/models/edusym2014.html
30598,"Proceedings of the NetWordS Final Conference on Word Knowledge and Word Usage: Representations and Processes in the Mental Lexicon, Pisa, Italy, March 30 - April 1, 2015.",CEUR Workshop Proceedings,1347,2015,https://dblp.org/db/conf/networds/networds2015.html
30625,"Proceedings of the 24th Midwest Artificial Intelligence and Cognitive Science Conference 2013, Indiana University Southeast, New Albany, IN, USA, April 13-14, 2013.",CEUR Workshop Proceedings,1348,2015,https://dblp.org/db/conf/maics/maics2013.html
30652,"Proceedings of the 1st International Workshop on Personalization &amp; Recommender Systems in Financial Services, Graz, Austria, April 16, 2015.",CEUR Workshop Proceedings,1349,2015,https://dblp.org/db/conf/finrec/finrec2015.html
30679,"Proceedings of the 28th International Workshop on Description Logics, Athens,Greece, June 7-10, 2015.",CEUR Workshop Proceedings,1350,2015,https://dblp.org/db/conf/dlog/dlog2015.html
30706,"Proceedings of the 2nd International Workshop on Emotion and Sentiment in Social and Expressive Media: Opportunities and Challenges for Emotion-aware Multiagent Systems co-located with 14th International Conference on Autonomous Agents and Multiagent Systems (AAMAS 2015), Istanbul, Turkey, May 5, 2015.",CEUR Workshop Proceedings,1351,2015,https://dblp.org/db/conf/atal/essem2015.html
30733,"Proceedings of 8th International Workshop on Personalized Access to Cultural Heritage co-located with the ACM Intelligent User Interfaces 2015 Conference (IUI 2015), Atlanta, USA, 29 March - 1 April, 2015.",CEUR Workshop Proceedings,1352,2015,https://dblp.org/db/conf/iui/patch2015.html
30760,"Proceedings of the 26th Modern AI and Cognitive Science Conference 2015, Greensboro, NC, USA, April 25-26, 2015.",CEUR Workshop Proceedings,1353,2015,https://dblp.org/db/conf/maics/maics2015.html
30787,"Post-proceedings of the Seventh Seminar on Advanced Techniques and Tools for Software Evolution, SATToSE 2014, L'Aquila, Italy, 9-11 July 2014.",CEUR Workshop Proceedings,1354,2015,https://dblp.org/db/conf/sattose/sattose2014.html
30814,"Proceedings of the Second Workshop on Software Engineering Methods in Spreadsheets co-located with the 37th International Conference on Software Engineering (ICSE 2015) , Florence, Italy, May 18, 2015.",CEUR Workshop Proceedings,1355,2015,https://dblp.org/db/conf/icse/sems2015.html
30841,"Proceedings of the 11th International Conference on ICT in Education, Research and Industrial Applications: Integration, Harmonization and Knowledge Transfer, Lviv, Ukraine, May 14-16, 2015.",CEUR Workshop Proceedings,1356,2015,https://dblp.org/db/conf/icteri/icteri2015.html
30868,"Proceedings of the 1st International IFIP Working Conference on Value-Driven Social Semantics &amp; Collective Intelligence co-located with the 5th Annual ACM Web Science Conference (WebSci 2013), Paris, France, May 1, 2013.",CEUR Workshop Proceedings,1357,2015,https://dblp.org/db/conf/websci/vasco2013.html
30895,"Proceedings of the 2nd International Workshop on Open Badges in Education co-located with the 5th International Learning Analytics and Knowledge Conference (LAK 2015), Poughkeepsie, USA, March 16, 2015.",CEUR Workshop Proceedings,1358,2015,https://dblp.org/db/conf/lak/obie2015.html
30922,"Proceedings of the Third Workshop on Services and Applications over Linked APIs and Data co-located with the 12th Extended Semantic Web Conference (ESWC 2015), Portorož, Slovenia, June 1, 2015.",CEUR Workshop Proceedings,1359,2015,https://dblp.org/db/conf/esws/salad2015.html
30949,"Proceedings of the 7th Central European Workshop on Services and their Composition, ZEUS 2015, Jena, Germany, February 19-20, 2015.",CEUR Workshop Proceedings,1360,2015,https://dblp.org/db/conf/zeus/zeus2015.html
30976,"Proceedings of the ESWC Developers Workshop 2015 co-located with the 12th Extended Semantic Web Conference (ESWC 2015), Portorož, Slovenia, May 31, 2015.",CEUR Workshop Proceedings,1361,2015,https://dblp.org/db/conf/esws/dev2015.html
31003,"Joint Proceedings of the 5th International Workshop on Using the Web in the Age of Data (USEWOD '15) and the 2nd International Workshop on Dataset PROFIling and fEderated Search for Linked Data (PROFILES '15) co-located with the 12th European Semantic Web Conference (ESWC 2015), Portorož, Slovenia, May 31 - June 1, 2015.",CEUR Workshop Proceedings,1362,2015,https://dblp.org/db/conf/esws/profiles2015.html
31030,"Proceedings of the 4th International Workshop on Detection, Representation, and Exploitation of Events in the Semantic Web (DeRiVE 2015) Co-located with the 12th Extended Semantic Web Conference (ESWC 2015), Protoroz, Slovenia, May 31, 2015.",CEUR Workshop Proceedings,1363,2015,https://dblp.org/db/conf/esws/derive2015.html
31057,"Proceedings of the First International Workshop Semantic Web for Scientific Heritage at the 12th ESWC 2015 Conference, Portorož, Slovenia, June 1st, 2015.",CEUR Workshop Proceedings,1364,2015,https://dblp.org/db/conf/esws/sw4sh2015.html
31084,"Proceedings of the 4th Workshop on Knowledge Discovery and Data Mining Meets Linked Open Data co-located with 12th Extended Semantic Web Conference (ESWC 2015), Portoroz, Slovenia, May 31, 2015.",CEUR Workshop Proceedings,1365,2015,https://dblp.org/db/conf/esws/knowlod2015.html
31111,"Proceedings of the 27th GI-Workshop Grundlagen von Datenbanken, Gommern, Germany, May 26-29, 2015.",CEUR Workshop Proceedings,1366,2015,https://dblp.org/db/conf/gvd/gvd2015.html
31138,"Proceedings of the CAiSE 2015 Forum at the 27th International Conference on Advanced Information Systems Engineering co-located with 27th International Conference on Advanced Information Systems Engineering (CAiSE 2015), Stockholm, Sweden, June 10th, 2015.",CEUR Workshop Proceedings,1367,2015,https://dblp.org/db/conf/caise/caisefo2015.html
31165,"Proceedings of the 1st International Workshop on Software Process Education, Training and Professionalism co-located with 15th International Conference on Software Process Improvement and Capability dEtermination (SPICE 2015), Gothenburg, Sweden, June 15-17, 2015.",CEUR Workshop Proceedings,1368,2015,https://dblp.org/db/conf/spice/spetp2015.html
31192,"Proceedings of the Third International Workshop on Behavior Change Support Systems co-located with the 10th International Conference on Persuasive Technology (PERSUASIVE 2015), Chicago, IL, United States, June 3, 2015.",CEUR Workshop Proceedings,1369,2015,https://dblp.org/db/conf/persuasive/bcss2015.html
31219,"Proceedings of the 1st International iStar Teaching Workshop co-located with the 27th International Conference on Advanced Information Systems Engineering (CAiSE 2015), Stockholm, Sweden, June 9, 2015.",CEUR Workshop Proceedings,1370,2015,https://dblp.org/db/conf/caise/istart2015.html
31246,"Proceedings of the International Workshop on Algorithms &amp; Theories for the Analysis of Event Data, ATAED 2015, Satellite event of the conferences: 36th International Conference on Application and Theory of Petri Nets and Concurrency Petri Nets 2015 and 15th International Conference on Application of Concurrency to System Design ACSD 2015, Brussels, Belgium, June 22-23, 2015.",CEUR Workshop Proceedings,1371,2015,https://dblp.org/db/conf/apn/ataed2015.html
31273,"Proceedings of the International Workshop on Petri Nets and Software Engineering (PNSE'15), including the International Workshop on Petri Nets for Adaptive Discrete Event Control Systems (ADECS 2015) A satellite event of the conferences: 36th International Conference on Application and Theory of Petri Nets and Concurrency Petri Nets 2015 and 15th International Conference on Application of Concurrency to System Design ACSD 2015, Brussels, Belgium, June 22-23, 2015.",CEUR Workshop Proceedings,1372,2015,https://dblp.org/db/conf/apn/pnse2015.html
31300,"Proceedings of the 6th International Workshop on Biological Processes &amp; Petri Nets co-located with 36th International Conference on Application and Theory of Petri Nets and Concurreny (PETRI NETS 2015), Brussels, Belgium, June 22, 2015.",CEUR Workshop Proceedings,1373,2015,https://dblp.org/db/conf/apn/bioppn2015.html
31327,"Proceedings of the 1st International Workshop on Socio-Technical Perspective in IS Development (STPIS'15) co-located with the 27th International Conference on Advanced Information Systems Engineering (CAiSE 2015), Stockholm, Sweden, June 9, 2015.",CEUR Workshop Proceedings,1374,2015,https://dblp.org/db/conf/caise/stpis2015.html
31354,"Proceedings of the 4th Workshop on Software Quality Analysis, Monitoring, Improvement, and Applications (SQAMIA 2015), Maribor, Slovenia, June 8-10, 2015.",CEUR Workshop Proceedings,1375,2015,https://dblp.org/db/conf/sqamia/sqamia2015.html
