Column1,fromLine,toLine,valid,url,acronym,title,loctime,tdtitle,volname,editors,submittedBy,published,year,pubDate,number,urn,archive,desc,h1,volume_number,ceurpubdate,voltitle,homepage,h3,colocated,vol_number
10,93960,93996,1,http://ceur-ws.org/Vol-11/,Workshop Proceedings DL'98,Proceedings of the,,"Proceedings of the 1998 International Workshop on Description Logics (DL'98), IRST, Povo -- Trento, Italy, June 6 - June 8, 1998.",Description Logics 1998,"Enrico Franconi, Giuseppe De Giacomo, Robert M. MacGregor,",Enrico Franconi,1998/5/29,,1998/5/29 0:00,11,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-11.zip,Workshop Proceedings DL'98,Proceedings of the,,,,,"Enrico Franconi, IRST-ITC, Povo - Trento, Italy Giuseppe De Giacomo, Univ. La Sapienza, Roma, Italy Robert M. MacGregor, USC/ISI, Marina del Rey, CA, USA Werner Nutt, DFKI, Saarbrücken, Germany and the Hebrew University of Jerusalem, Israel Christopher A. Welty, Vassar College, Poughkeepsie, NY, USA",,
11,93923,93958,1,http://ceur-ws.org/Vol-12/,BVM-98,Bildverarbeitung für die Medizin 1998,,"Proceedings Aachener Workshop, Aachen, Germany, March 26-27, 1998.",Bildverarbeitung für die Medizin 1998: Algorithmen - Systeme - Anwendungen,"Thomas Lehmann, Volker Metzler, Klaus Spitzer, Thomas Tolxdorff",Volker Metzler,1998/6/4,,1998/6/4 0:00,12,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-12.zip,BVM-98,Bildverarbeitung für die Medizin 1998,,,,,"26. und 27. März 1998, Universitätsklinikum der RWTH Aachen",,
12,93884,93920,1,http://ceur-ws.org/Vol-13/,PAKM98,,,"Proceedings of the Second International Conference (PAKM'98), Basel, Switzerland, October 29-30, 1998.",Practical Aspects of Knowledge Management,Ulrich Reimer,Ulrich Reimer,1998/11/12,,1998/11/12 0:00,13,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-13.zip,PAKM98,?,,,,,"Proceedings of the Second International Conference Basel, Switzerland, October 29-30, 1998",,
13,93846,93881,1,http://ceur-ws.org/Vol-14/,OM-98,"Building, Maintaining, and Using Organizational Memories (OM-98)",,"Proceedings of the 1st Workshop OM-98, Brighton, UK,  August 24-25, 1998.","Building, Maintaining, and Using Organizational Memories",,Stefan Decker,1998/8/19,,1998/8/19 0:00,14,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-14.zip,OM-98,"Building, Maintaining, and Using Organizational Memories (OM-98)",,,,,Andreas Abecker1 Stefan Decker2 Nada Matta3 Frank Maurer4 Ulrich Reimer5,,
14,93811,93844,1,http://ceur-ws.org/Vol-15/,"GI-Fachgruppe 2.5.2 (EMISA) EMISA-Fachgruppentreffen 1998 - Integration von Mensch, Organisation und Technik: eine partielle Bilanz Elektronische Fassung des Readers zum Fachgruppentreffen 1998 in Gelsenkirchen","GI-Fachgruppe 2.5.2 (EMISA) EMISA-Fachgruppentreffen 1998 - Integration von Mensch, Organisation und Technik: eine partielle Bilanz Elektronische Fassung des Readers zum Fachgruppentreffen 1998 in Gelsenkirchen",,"Proceedings EMISA-Fachgruppentreffen '98, Gelsenkirchen, Germany, October 7-9, 1998.","Integration von Mensch, Organisation und Technik: eine partielle Bilanz",,Hansjürgen Paul,1999/1/11,,1999/1/11 0:00,15,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-15.zip,?,"GI-Fachgruppe 2.5.2 (EMISA) EMISA-Fachgruppentreffen 1998 - Integration von Mensch, Organisation und Technik: eine partielle Bilanz Elektronische Fassung des Readers zum Fachgruppentreffen 1998 in Gelsenkirchen",,,,,,,
15,93775,93809,1,http://ceur-ws.org/Vol-16/,KR98-V&V workshop at KR'98,Proceedings of the,,"Proceedings of the 1998 European Workshop, IRST, Povo -- Trento, Italy, June 6 - June 8, 1998.",Validation and Verification of Knowledge-Based Systems,Frank van Harmelen,Frank van Harmelen,1999/3/26,,1999/3/26 0:00,16,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-16.zip,KR98-V&V workshop at KR'98,Proceedings of the,,,,,"Frank van Harmelen Vrije Universiteit Amsterdam, The Netherlands",,
16,93738,93773,1,http://ceur-ws.org/Vol-17/,CEUR-WS-17,Cross-Organisational Workflow Management and Co-ordination,,"Proceedings, San Francisco, USA, February 22, 1999.",Cross-Organisational Workflow Management and Co-ordination,"Christoph Bussler, Paul Grefen, Heiko Ludwig, Ming-Chien Shan",Heiko Ludwig,1999/3/29,,1999/3/29 0:00,17,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-17.zip,CEUR-WS-17,Cross-Organisational Workflow Management and Co-ordination,,,,,Christoph Bussler1 Paul Grefen2 Heiko Ludwig3 Ming-Chien Shan4,,
17,93703,93736,1,http://ceur-ws.org/Vol-18/,CEUR-WS-18,Proceedings of the,,"Proceedings of the Workshop KRR5 at IJCAI'99, Stockholm, Sweden, August 2, 1999.",Ontologies and Problem-Solving Methods: Lessons Learned and Future Trends,V. Richard Benjamins,V. Richard Benjamins,1999/6/22,,1999/6/22 0:00,18,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-18.zip,CEUR-WS-18,Proceedings of the,,,,,,,
18,93670,93701,1,http://ceur-ws.org/Vol-19/,DMDW-99,Design and Management of Data Warehouses,,"Proceedings of the Intl. Workshop DMDW'99 at CAiSE*99, Heidelberg, Germany, June 14-15, 1999.",Design and Management of Data Warehouses,"Stella Gatziu, Manfred Jeusfeld, Martin Staudt, Yannis Vassiliou",Martin Staudt,1999/6/23,,1999/6/23 0:00,19,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-19.zip,DMDW-99,Design and Management of Data Warehouses,,,,,"Proceedings of the Intl. Workshop DMDW'99, Heidelberg, Germany, June 14-15, 1999",,
19,93632,93668,1,http://ceur-ws.org/Vol-20/,BVM'99,Bildverarbeitung für die Medizin,,"Proceedings Heidelberger Workshop, Heidelberg, Germany, March 4-5, 1999.",Bildverarbeitung für die Medizin 1999: Algorithmen - Systeme - Anwendungen,"Harald Evers, Gerald Glombitza, Thomas Lehmann, Hans-Peter Meinzer",Thomas Lehmann,1999/5/18,,1999/5/18 0:00,20,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-20.zip,BVM'99,Bildverarbeitung für die Medizin,,,,,Proceedings des Heidelberger Workshops am 4. und 5. März 1999,,
20,93599,93646,1,http://ceur-ws.org/Vol-21/,KRDB'99,Proceedings of the,,"Proceedings of the 6th Intl. Workshop KRDB'99, Linköping, Sweden, July 29-30, 1999.",Bildverarbeitung für die Medizin 1999: Algorithmen - Systeme - Anwendungen,"Enrico Franconi, Michael Kifer",Enrico Franconi,1999/7/6,,1999/7/6 0:00,21,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-21.zip,KRDB'99,Proceedings of the,,,,,"Edited by: Enrico Franconi, University of Manchester, UK (franconi@cs.man.ac.uk) Michael Kifer, University at Stony Brook, USA (kifer@cs.sunysb.edu)",,
21,93564,93611,1,http://ceur-ws.org/Vol-22/,Workshop Proceedings DL'99,Proceedings of the,,"Proceedings of the Intl. Workshop DL'99, Linköping, Sweden, July 30 - August 1, 1999.",Knowledge Representation meets Databases 1999,"Patrick Lambrix, Alex Borgida, Maurizio Lenzerini, Ralf Möller, Peter Patel-Schneider",Patrick Lambrix,1999/7/6,,1999/7/6 0:00,22,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-22.zip,Workshop Proceedings DL'99,Proceedings of the,,,,,"Patrick Lambrix, Linköpings universitet, Sweden. Alex Borgida, Rutgers University, NJ, USA. Maurizio Lenzerini, Universita' degli Studi di Roma ""La Sapienza"", Italy. Ralf Möller, University of Hamburg, Germany. Peter Patel-Schneider, Bell Labs Research, NJ, USA",,
22,93528,93562,1,http://ceur-ws.org/Vol-23/,CEUR-WS-23,Proceedings of the,,"Proceedings of the Workshop III-99 at IJCAI-99, Stockholm, Sweden, July 31, 1999.",Intelligent Information Integration,"Dieter Fensel, Craig Knoblock, Nicholas Kushmerick, Marie-Christine Rousset",Dieter Fensel,1999/7/5,,1999/7/5 0:00,23,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-23.zip,CEUR-WS-23,Proceedings of the,,,,,,,
23,93496,93525,1,http://ceur-ws.org/Vol-24/,CEUR-WS-24,,,"Proceedings of the Workshop at Informatik'99, Paderborn, Germany, October 6, 1999.","Enterprise-wide and Cross-enterprise Workflow Management: Concepts, Systems, Applications","Peter Dadam, Manfred Reichert",Peter Dadam,1999/10/15,,1999/10/15 0:00,24,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-24.zip,CEUR-WS-24,?,,,,,,,
24,93462,93493,1,http://ceur-ws.org/Vol-25/,FDBS-99,"4. Workshop ""Föderierte Datenbanken""",,"Proceedings of the 4th Workshop FDBS-99, Berlin, Germany, November 25-26, 1999.",Föderierte Datenbanken,"Ralf-Detlef Kutsche, Ulf Leser, Johann Christoph Freytag",Ulf Leser,1999/12/7,,1999/12/7 0:00,25,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-25.zip,FDBS-99,"4. Workshop ""Föderierte Datenbanken""",,,,,"Proceedings of the 4th Workshop FDBS-99 Berlin, Germany, November 25-26, 1999",,
25,93427,93460,1,http://ceur-ws.org/Vol-26/,FDBS-99,,,"Proceedings of the 6th Workshop AWPN-99, Frankfurt, Germany, October 11-12, 1999.",Algorithmen und Werkzeuge für Petrinetze,"Jörg Desel, Andreas Oberweis",Andreas Oberweis,2000/1/25,,2000/1/25 0:00,26,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-26.zip,FDBS-99,?,,,,,,,
26,93391,93425,1,http://ceur-ws.org/Vol-27/,WMBV'2000,Bildverarbeitung für die Medizin 2000,,Proceedings des Workshops vom 12. bis 14. März 2000 in München.,Bildverarbeitung für die Medizin 2000: Algorithmen - Systeme - Anwendungen,"Alexander Horsch, Thomas Lehmann",Thomas Lehmann,2000/3/24,,2000/3/24 0:00,27,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-27.zip,WMBV'2000,Bildverarbeitung für die Medizin 2000,,,,,Proceedings des Workshops vom 12. bis 14. März 2000 in München,,
27,93357,93388,1,http://ceur-ws.org/Vol-28/,DMDW-2000,Design and Management of Data Warehouses,,"Proceedings of the 2nd Intl. Workshop DMDW'2000 at CAiSE*00, Stockholm, Sweden, June 5-6, 2000.",Design and Management of Data Warehouses,"Manfred Jeusfeld, Hua Shu, Martin Staudt, Gottfried Vossen",Martin Staudt,2000/5/31,,2000/5/31 0:00,28,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-28.zip,DMDW-2000,Design and Management of Data Warehouses,,,,,"Proceedings of the 2nd Intl. Workshop DMDW'2000, Stockholm, Sweden, June 5-6, 2000",,
28,93320,93355,1,http://ceur-ws.org/Vol-29/,KRDB2000,Proceedings of the,,"Proceedings of the 7th Intl. Workshop KRDB'2000, Berlin, Germany, August 21, 2000.",Knowledge Representation meets Databases 2000,"Mokrane Bouzeghoub, Matthias Klusch, Werner Nutt, Ulrike Sattler",Ulrike Sattler,2000/7/11,,2000/7/11 0:00,29,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-29.zip,KRDB2000,Proceedings of the,,,,,"Edited by: Mokrane Bouzeghoub, Universite de Versailles, France (Mokrane.Bouzeghoub@prism.uvsq.fr) Matthias Klusch, German Research Center for Artificial Intelligence (DFKI), Germany (klusch@dfki.de) Werner Nutt, German Research Center for Artificial Intelligence (DFKI), Germany (nutt@dfki.de) Ulrike Sattler, LuFG Theoretical Computer Science, RWTH Aachen, Germany (sattler@informatik.rwth-aachen.de)",,
29,93283,93317,1,http://ceur-ws.org/Vol-30/,ISDO '00 Infrastructure for Dynamic Business-to-Business Service Outsourcing,ISDO '00 Infrastructure for Dynamic Business-to-Business Service Outsourcing,,"Proceedings of the First Workshop at CAiSE*00, Stockholm, Sweden, June 5-6, 2000.",Infrastructure for Dynamic Business-to-Business Service Outsourcing,"Heiko Ludwig, Yigal Hoffner, Christoph Bussler, Martin Bichler",Heiko Ludwig,2000/7/12,,2000/7/12 0:00,30,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-30.zip,?,ISDO '00 Infrastructure for Dynamic Business-to-Business Service Outsourcing,,,,,"Proceedings of the CAISE*00 Workshop on Infrastructure for Dynamic Business-to-Business Service Outsourcing Stockholm, June 5-6, 2000",,
30,93250,93281,1,http://ceur-ws.org/Vol-31/,KRDB-98,ECAI'2000 Workshop on,,"Proceedings of the First Workshop on Ontology Learning OL'2000, Berlin, Germany, August 25, 2000.",ECAI'2000 Workshop on Ontology Learning,"Steffen Staab, Alexander Maedche, Claire Nedellec, Peter Wiemer-Hastings",Alexander Maedche,2000/6/26,,2000/6/26 0:00,31,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-31.zip,KRDB-98,ECAI'2000 Workshop on,,,,,"Proceedings of the First Workshop on Ontology Learning OL'2000 Berlin, Germany, August 25, 2000",,
31,93215,93248,1,http://ceur-ws.org/Vol-32/,ARW 2000,Automated Reasoning Workshop 2000,,"Proceedings of the 7th Workshop on Automated Reasoning, London, UK, July 20-21, 2000.",Automated Reasoning Workshop 2000: Bridging the Gap between Theory and Practice,"Hans Jürgen Ohlbach, Ulrich Endriss, Odinaldo Rodrigues, Stefan Schlobach",Ulrich Endriss,2000/8/22,,2000/8/22 0:00,32,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-32.zip,ARW 2000,Automated Reasoning Workshop 2000,,,,,"Proceedings of the Seventh Workshop on Automated Reasoning, Bridging the Gap between Theory and Practice, King's College London, UK, 20-21 July 2000",,
32,93178,93212,1,http://ceur-ws.org/Vol-33/,Workshop Proceedings DL2000,Proceedings of the,,"Proceedings of the 2000 Intl. Workshop on Description Logics, Aachen, Germany, August 17-19, 2000.",Description Logics 2000,"Franz Baader, Ulrike Sattler",Ralf Küsters,2000/7/18,,2000/7/18 0:00,33,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-33.zip,Workshop Proceedings DL2000,Proceedings of the,,,,,"Franz Baader, RWTH Aachen, Germany Ulrike Sattler, RWTH Aachen, Germany",,
33,93142,93176,1,http://ceur-ws.org/Vol-34/,PAKM2000,,,"Proceedings of the Third International Conference (PAKM 2000), Basel, Switzerland, October 30-31, 2000.",Practical Aspects of Knowledge Management 2000,Ulrich Reimer,Ulrich Reimer,2000/11/13,,2000/11/13 0:00,34,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-34.zip,PAKM2000,?,,,,,"Proceedings of the Third International Conference Basel, Switzerland, October 30-31, 2000",,
34,93105,93139,1,http://ceur-ws.org/Vol-35/,ILP2000 Work-in-progress reports,"Inductive Logic Programming 10th International Conference, ILP 2000 Work-in-progress reports",,"Proceedings of the 10th International Conference (ILP 2000), London, July 2000.",Inductive Logic Programming 2000,"James Cussens, Alan Frisch",James Cussens,2000/11/2,,2000/11/2 0:00,35,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-35.zip,ILP2000 Work-in-progress reports,"Inductive Logic Programming 10th International Conference, ILP 2000 Work-in-progress reports",,,,,"James Cussens Alan Frisch Both at Department of Computer Science, University of York, UK",,
35,93069,93103,1,http://ceur-ws.org/Vol-36/,WMBV'2001,Bildverarbeitung für die Medizin 2001,,Proceedings des Workshops vom 4. bis 6. März 2001 in Lübeck.,Bildverarbeitung für die Medizin 2001: Algorithmen - Systeme - Anwendungen,"Heinz Handels, Alexander Horsch, Thomas Lehmann, Hans-Peter Meinzer",Thomas Lehmann,2001/3/28,,2001/3/28 0:00,36,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-36.zip,WMBV'2001,Bildverarbeitung für die Medizin 2001,,,,,Proceedings des Workshops vom 4. bis 6. März 2001 in Lübeck,,
36,93032,93067,1,http://ceur-ws.org/Vol-37/,WM-2001,Geschäftsprozessorientiertes Wissensmanagement - Von der Strategie zum Content,,"Proceedings des Workshops anlässlich der WM'2001 in                                     Baden-Baden, 14-16 März 2001.",Geschäftsprozessorientiertes Wissensmanagement - Von der Strategie zum Content,"Heinz Jürgen Müller,",Heiko Maus,2001/3/7,,2001/3/7 0:00,37,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-37.zip,WM-2001,Geschäftsprozessorientiertes Wissensmanagement - Von der Strategie zum Content,,,,,"Proceedings des Workshops anlässlich der WM'2001 in Baden-Baden, 14-16 März 2001",,
37,92995,93030,1,http://ceur-ws.org/Vol-38/,KRDB-98,IJCAI'2001 Workshop on,,"Proceedings of the Second Workshop on Ontology Learning OL'2001, Seattle, USA, August 4, 2001.",IJCAI'2001 Workshop on Ontology Learning,"Alexander Maedche, Steffen Staab, Claire Nedellec, Ed Hovy",Alexander Maedche,2001/4/25,,2001/4/25 0:00,38,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-38.zip,KRDB-98,IJCAI'2001 Workshop on,,,,,"Proceedings of the Second Workshop on Ontology Learning OL'2001 Seattle, USA, August 4, 2001",,
38,92961,92993,1,http://ceur-ws.org/Vol-39/,DMDW-2001,Design and Management of Data Warehouses,,"Proceedings of the 3rd Intl. Workshop DMDW'2001 at CAiSE*01, Interlaken, Switzerland, June 4, 2001.",Design and Management of Data Warehouses 2001,"Dimitri Theodoratos, Joachim Hammer, Manfred Jeusfeld, Martin Staudt",Martin Staudt,2001/7/30,,2001/7/30 0:00,39,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-39.zip,DMDW-2001,Design and Management of Data Warehouses,,,,,"Proceedings of the 3rd Intl. Workshop DMDW'2001, Interlaken, Switzerland, June 4, 2001",,
39,92924,92959,1,http://ceur-ws.org/Vol-40/,Semantic Web Workshop 2001,Semantic Web Workshop 2001,,"Proceedings 2nd Intl. Workshop on the Semantic Web (SemWeb'2001), Hong Kong, China, May 1, 2001.",Semantic Web Workshop 2001,"Stefan Decker, Dieter Fensel, Amit Sheth, Steffen Staab",Steffen Staab,2001/5/10,,2001/5/10 0:00,40,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-40.zip,SEMWEB'2001,Semantic Web Workshop 2001,,,,http://www10.org,"Proceedings of the Second International Workshop on the Semantic Web - SemWeb'2001 Hongkong, China, May 1, 2001",,
40,92886,92922,1,http://ceur-ws.org/Vol-41/,,,,"Proceedings 9th Intl. Conference on Conceptual Structures (ICCS'01), Stanford, Calif., USA, July 30 to August 3, 2001.",Conceptual Structures: Extracting and Representing Semantics,Guy W. Mineau,Guy W. Mineau,2001/7/30,,2001/7/30 0:00,41,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-41.zip,?,?,,,,,,,
41,92845,92883,1,http://ceur-ws.org/Vol-42/,CLKDD '01,"CLKDD'01 Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases",,"Proceedings of the CLKDD*01 Workshop on Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases, Stanford, Calif., USA, July 30, 2001.","Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases","Engelbert Mephu Nguifo, Michel Liquière, Vincent Duquenne",Engelbert Mephu Nguifo,2001/7/30,,2001/7/30 0:00,42,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-42.zip,CLKDD '01,"CLKDD'01 Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases",,,,,"Proceedings of the CLKDD*01 Workshop on Concept Lattices-based Theory, Methods and Tools for Knowledge Discovery in Databases Stanford, July 30, 2001",,
42,92806,92842,1,http://ceur-ws.org/Vol-43/,MDDE'01,MDDE'01 Multimedia Data and Document Engineering,,"Proceedings of the First International Workshop on Multimedia Data and Document Engineering, Lyon, France, July 4, 2001.",Multimedia Data and Document Engineering 2001,Mohand-Said Hacid,Mohand-Said Hacid,2001/7/30,,2001/7/30 0:00,43,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-43.zip,MDDE'01,MDDE'01 Multimedia Data and Document Engineering,,,,,"Proceedings of the First International Workshop on Multimedia Data and Document Engineering Lyon, France, July 4 2001",,
43,92765,92803,1,http://ceur-ws.org/Vol-44/,ADL-01,ADL-2001 2001 Workshop on Applications of Description Logics,,"Proceedings of the KI-2001 Workshop on Applications of Description Logics, Vienna, Austria, September 18, 2001.",Workshop on Applications of Description Logics 2001,"Günther Görz, Volker Haarslev, Carsten Lutz, Ralf Möller",Carsten Lutz,2001/8/31,,2001/8/31 0:00,44,,http://sunsite.informatik.rwth-aachen.de/ftp/pub/publications/CEUR-WS/Vol-44.zip,ADL-01,ADL-2001 2001 Workshop on Applications of Description Logics,,,,,"Proceedings of the KI-2001 Workshop on Applications of Description Logics Vienna, September 18, 2001",,
