Column1,vol_url,vol_number,volname,acronym,coloc_conf,ceur_long_title,voltitle,h1,tdtitle,title,loctime,workshop,workshopLabel,ref_url,ShortName,countryLabel,cityLabel,StartTime,EndTime,ProceedingsTitle,Vol_Number.1,Year,dblp_url
10,http://ceur-ws.org/Vol-11/,11,Description Logics 1998,Workshop Proceedings DL'98,,"Enrico Franconi, IRST-ITC, Povo - Trento, Italy Giuseppe De Giacomo, Univ. La Sapienza, Roma, Italy Robert M. MacGregor, USC/ISI, Marina del Rey, CA, USA Werner Nutt, DFKI, Saarbrücken, Germany and the Hebrew University of Jerusalem, Israel Christopher A. Welty, Vassar College, Poughkeepsie, NY, USA",,Proceedings of the,"Proceedings of the 1998 International Workshop on Description Logics (DL'98), IRST, Povo -- Trento, Italy, June 6 - June 8, 1998.",Proceedings of the,,http://www.wikidata.org/entity/Q113673800,1998 International Workshop on Description Logics,http://ceur-ws.org/Vol-11/,DL'98,Italy,Trento,1998/6/6 2:00,1998/6/8 2:00,"Proceedings of the 1998 International Workshop on Description Logics (DL'98), IRST, Povo - Trento, Italy, June 6-8, 1998.",11,1998,https://dblp.org/db/conf/dlog/dlog1998.html
11,http://ceur-ws.org/Vol-12/,12,Bildverarbeitung für die Medizin 1998: Algorithmen - Systeme - Anwendungen,BVM-98,PAKM'98,"26. und 27. März 1998, Universitätsklinikum der RWTH Aachen",,Bildverarbeitung für die Medizin 1998,"Proceedings Aachener Workshop, Aachen, Germany, March 26-27, 1998.",Bildverarbeitung für die Medizin 1998,,http://www.wikidata.org/entity/Q113673801,Bildverarbeitung für die Medizin 1998,http://ceur-ws.org/Vol-12/,BVM-98,Germany,Aachen,1998/3/26 1:00,1998/3/27 1:00,"Bildverarbeitung für die Medizin: Algorithmen, Systeme, Anwendungen, Proceedings des Aachener Workshops, Aachen, Germany, March 26-27, 1998.",12,1998,https://dblp.org/db/conf/bildmed/bildmed1998.html
12,http://ceur-ws.org/Vol-13/,13,Practical Aspects of Knowledge Management,PAKM98,PAKM98,"Proceedings of the Second International Conference Basel, Switzerland, October 29-30, 1998",,?,"Proceedings of the Second International Conference (PAKM'98), Basel, Switzerland, October 29-30, 1998.",,,,,,,,,,,"PAKM 98, Practical Aspects of Knowledge Management, Proceedings of the Second International Conference, Basel, Switzerland, October 29-30, 1998.",13,1998,https://dblp.org/db/conf/pakm/pakm1998.html
13,http://ceur-ws.org/Vol-14/,14,"Building, Maintaining, and Using Organizational Memories",OM-98,,Andreas Abecker1 Stefan Decker2 Nada Matta3 Frank Maurer4 Ulrich Reimer5,,"Building, Maintaining, and Using Organizational Memories (OM-98)","Proceedings of the 1st Workshop OM-98, Brighton, UK,  August 24-25, 1998.","Building, Maintaining, and Using Organizational Memories (OM-98)",,http://www.wikidata.org/entity/Q113673804,"Building, Maintaining, and Using Organizational Memories (OM-98)",http://ceur-ws.org/Vol-14/,OM-98,United Kingdom,Brighton,1998/8/24 2:00,1998/8/25 2:00,"Building, Maintaining, and Using Organizational Memories (OM-98), Proceedings of the 1st Workshop OM-98, Brighton, UK, August 24-25, 1998.",14,1998,https://dblp.org/db/conf/om/om1998.html
14,http://ceur-ws.org/Vol-15/,15,"Integration von Mensch, Organisation und Technik: eine partielle Bilanz","GI-Fachgruppe 2.5.2 (EMISA) EMISA-Fachgruppentreffen 1998 - Integration von Mensch, Organisation und Technik: eine partielle Bilanz Elektronische Fassung des Readers zum Fachgruppentreffen 1998 in Gelsenkirchen",,,,"GI-Fachgruppe 2.5.2 (EMISA) EMISA-Fachgruppentreffen 1998 - Integration von Mensch, Organisation und Technik: eine partielle Bilanz Elektronische Fassung des Readers zum Fachgruppentreffen 1998 in Gelsenkirchen","Proceedings EMISA-Fachgruppentreffen '98, Gelsenkirchen, Germany, October 7-9, 1998.","GI-Fachgruppe 2.5.2 (EMISA) EMISA-Fachgruppentreffen 1998 - Integration von Mensch, Organisation und Technik: eine partielle Bilanz Elektronische Fassung des Readers zum Fachgruppentreffen 1998 in Gelsenkirchen",,,,,,,,,,"Integration von Mensch, Organisation und Technik: eine partielle Bilanz. Beiträge zum EMISA-Fachgruppentreffen 1998 in Gelsenkirchen, Deutschland.",15,1999,https://dblp.org/db/conf/emisa/emisa1998.html
15,http://ceur-ws.org/Vol-16/,16,Validation and Verification of Knowledge-Based Systems,KR98-V&V workshop at KR'98,KR 1998,"Frank van Harmelen Vrije Universiteit Amsterdam, The Netherlands",,Proceedings of the,"Proceedings of the 1998 European Workshop, IRST, Povo -- Trento, Italy, June 6 - June 8, 1998.",Proceedings of the,,http://www.wikidata.org/entity/Q113673808,Q113673808,http://ceur-ws.org/Vol-16/,KR98-V&V workshop at KR'98,Italy,Trento,1998/6/6 2:00,1998/6/8 2:00,"1998 European Workshop on Validation and Verification of Knowledge-Based Systems, EUROVAV@KR 1998, IRST, Povo, Trento, Italy June 6-8, 1998.",16,1998,https://dblp.org/db/conf/eurovav/eurovav1998.html
16,http://ceur-ws.org/Vol-17/,17,Cross-Organisational Workflow Management and Co-ordination,CEUR-WS-17,,Christoph Bussler1 Paul Grefen2 Heiko Ludwig3 Ming-Chien Shan4,,Cross-Organisational Workflow Management and Co-ordination,"Proceedings, San Francisco, USA, February 22, 1999.",Cross-Organisational Workflow Management and Co-ordination,,http://www.wikidata.org/entity/Q113673809,Cross-Organisational Workflow Management and Co-ordination,http://ceur-ws.org/Vol-17/,CEUR-WS-17,United States of America,San Francisco,1999/2/22 1:00,1999/2/22 1:00,"Proceedings of the Workshop on Cross-Organisational Workflow Management and Co-ordination, San Francisco, USA, February 22, 1999.",17,1999,https://dblp.org/db/conf/workflow/WACCworkflow1999.html
17,http://ceur-ws.org/Vol-18/,18,Ontologies and Problem-Solving Methods: Lessons Learned and Future Trends,CEUR-WS-18,IJCAI'99,,,Proceedings of the,"Proceedings of the Workshop KRR5 at IJCAI'99, Stockholm, Sweden, August 2, 1999.",Proceedings of the,,,,,,,,,,,,,
18,http://ceur-ws.org/Vol-19/,19,Design and Management of Data Warehouses,DMDW-99,CAiSE*99,"Proceedings of the Intl. Workshop DMDW'99, Heidelberg, Germany, June 14-15, 1999",,Design and Management of Data Warehouses,"Proceedings of the Intl. Workshop DMDW'99 at CAiSE*99, Heidelberg, Germany, June 14-15, 1999.",Design and Management of Data Warehouses,,,,,,,,,,"Proceedings of the Intl. Workshop on Design and Management of Data Warehouses, DMDW'99, Heidelberg, Germany, June 14-15, 1999.",19,1999,https://dblp.org/db/conf/dmdw/dmdw1999.html
19,http://ceur-ws.org/Vol-20/,20,Bildverarbeitung für die Medizin 1999: Algorithmen - Systeme - Anwendungen,BVM'99,,Proceedings des Heidelberger Workshops am 4. und 5. März 1999,,Bildverarbeitung für die Medizin,"Proceedings Heidelberger Workshop, Heidelberg, Germany, March 4-5, 1999.",Bildverarbeitung für die Medizin,,http://www.wikidata.org/entity/Q113674169,Bildverarbeitung für die Medizin 1999,http://ceur-ws.org/Vol-20/,BVM'99,Germany,Heidelberg,1999/3/4 1:00,1999/3/5 1:00,"Bildverarbeitung für die Medizin 1999: Algorithmen, Systeme, Anwendungen, Workshop Proceedings, Heidelberg, Germany, March 4-5, 1999.",20,1999,https://dblp.org/db/conf/bildmed/bildmed99.html
20,http://ceur-ws.org/Vol-21/,21,Bildverarbeitung für die Medizin 1999: Algorithmen - Systeme - Anwendungen,KRDB'99,,"Edited by: Enrico Franconi, University of Manchester, UK (franconi@cs.man.ac.uk) Michael Kifer, University at Stony Brook, USA (kifer@cs.sunysb.edu)",,Proceedings of the,"Proceedings of the 6th Intl. Workshop KRDB'99, Linköping, Sweden, July 29-30, 1999.",Proceedings of the,,http://www.wikidata.org/entity/Q113673814,6th International Workshop on Knowledge Representation meets Databases (KRDB'99),http://ceur-ws.org/Vol-21/,KRDB'99,Sweden,Linköping,1999/7/29 2:00,1999/7/30 2:00,"Proceedings of the 6th International Workshop on Knowledge Representation meets Databases (KRDB'99), Linköping, Sweden, July 29-30, 1999.",21,1999,https://dblp.org/db/conf/krdb/krdb99.html
21,http://ceur-ws.org/Vol-22/,22,Knowledge Representation meets Databases 1999,Workshop Proceedings DL'99,,"Patrick Lambrix, Linköpings universitet, Sweden. Alex Borgida, Rutgers University, NJ, USA. Maurizio Lenzerini, Universita' degli Studi di Roma ""La Sapienza"", Italy. Ralf Möller, University of Hamburg, Germany. Peter Patel-Schneider, Bell Labs Research, NJ, USA",,Proceedings of the,"Proceedings of the Intl. Workshop DL'99, Linköping, Sweden, July 30 - August 1, 1999.",Proceedings of the,,http://www.wikidata.org/entity/Q113673815,1999 International Workshop on Description Logics (DL'99),http://ceur-ws.org/Vol-22/,DL'99,Sweden,Linköping,1999/7/30 2:00,1999/8/1 2:00,"Proceedings of the 1999 International Workshop on Description Logics (DL'99), Linköping, Sweden, July 30 - August 1, 1999.",22,1999,https://dblp.org/db/conf/dlog/dlog1999.html
22,http://ceur-ws.org/Vol-23/,23,Intelligent Information Integration,CEUR-WS-23,IJCAI-99,,,Proceedings of the,"Proceedings of the Workshop III-99 at IJCAI-99, Stockholm, Sweden, July 31, 1999.",Proceedings of the,,http://www.wikidata.org/entity/Q113673816,IJCAI-99 Workshop on Intelligent Information Integration,http://ceur-ws.org/Vol-23/,IJCAI 1999,Sweden,Stockholm,1999/7/31 2:00,1999/7/31 2:00,"Proceedings of the IJCAI-99 Workshop on Intelligent Information Integration, Held on July 31, 1999 in conjunction with the Sixteenth International Joint Conference on Artificial Intelligence City Conference Center, Stockholm, Sweden.",23,1999,https://dblp.org/db/conf/ijcai/ijcai99iii.html
23,http://ceur-ws.org/Vol-24/,24,"Enterprise-wide and Cross-enterprise Workflow Management: Concepts, Systems, Applications",CEUR-WS-24,Informatik'99,,,?,"Proceedings of the Workshop at Informatik'99, Paderborn, Germany, October 6, 1999.",,,,,,,,,,,"Workshop Informatik '99: Enterprise-wide and Cross-enterprise Workflow Management: Concepts, Systems, Applications, Paderborn, Germany, October 6, 1999.",24,1999,https://dblp.org/db/conf/workflow/GIworkflow1999.html
24,http://ceur-ws.org/Vol-25/,25,Föderierte Datenbanken,FDBS-99,,"Proceedings of the 4th Workshop FDBS-99 Berlin, Germany, November 25-26, 1999",,"4. Workshop ""Föderierte Datenbanken""","Proceedings of the 4th Workshop FDBS-99, Berlin, Germany, November 25-26, 1999.","4. Workshop ""Föderierte Datenbanken""",,,,,,,,,,"4. Workshop Föderierte Datenbanken, Berlin, Germany, November 25-26, 1999.",25,1999,https://dblp.org/db/conf/fdbs/fdbs99.html
25,http://ceur-ws.org/Vol-26/,26,Algorithmen und Werkzeuge für Petrinetze,FDBS-99,,,,?,"Proceedings of the 6th Workshop AWPN-99, Frankfurt, Germany, October 11-12, 1999.",,,http://www.wikidata.org/entity/Q113673818,6th Workshop on Algorithmen und Werkzeuge für Petrinetze (AWPN'99),http://ceur-ws.org/Vol-26/,FDBS-99,Germany,Frankfurt am Main,1999/10/11 2:00,1999/10/12 2:00,"6. Workshop Algorithmen und Werkzeuge für Petrinetze (AWPN'99), Frankfurt, Germany, October 11. - 12., 1999.",26,2000,https://dblp.org/db/conf/awpn/awpn1999.html
26,http://ceur-ws.org/Vol-27/,27,Bildverarbeitung für die Medizin 2000: Algorithmen - Systeme - Anwendungen,WMBV'2000,,Proceedings des Workshops vom 12. bis 14. März 2000 in München,,Bildverarbeitung für die Medizin 2000,Proceedings des Workshops vom 12. bis 14. März 2000 in München.,Bildverarbeitung für die Medizin 2000,,http://www.wikidata.org/entity/Q113673821,Bildverarbeitung für die Medizin 2000,http://ceur-ws.org/Vol-27/,WMBV'2000,Germany,Munich,2000/3/12 1:00,2000/3/14 1:00,"Bildverarbeitung für die Medizin 2000: Algorithmen, Systeme, Anwendungen, Workshop Proceedings, München, Germany, March 12-14, 2000.",27,2000,https://dblp.org/db/conf/bildmed/bildmed2000.html
27,http://ceur-ws.org/Vol-28/,28,Design and Management of Data Warehouses,DMDW-2000,CAiSE*00,"Proceedings of the 2nd Intl. Workshop DMDW'2000, Stockholm, Sweden, June 5-6, 2000",,Design and Management of Data Warehouses,"Proceedings of the 2nd Intl. Workshop DMDW'2000 at CAiSE*00, Stockholm, Sweden, June 5-6, 2000.",Design and Management of Data Warehouses,,http://www.wikidata.org/entity/Q113673823,Design and Management of Data Warehouses,http://ceur-ws.org/Vol-28/,DMDW-2000,Sweden,Stockholm,2000/6/5 2:00,2000/6/6 2:00,"Proceedings of the Second Intl. Workshop on Design and Management of Data Warehouses, DMDW 2000, Stockholm, Sweden, June 5-6, 2000.",28,2000,https://dblp.org/db/conf/dmdw/dmdw2000.html
28,http://ceur-ws.org/Vol-29/,29,Knowledge Representation meets Databases 2000,KRDB2000,,"Edited by: Mokrane Bouzeghoub, Universite de Versailles, France (Mokrane.Bouzeghoub@prism.uvsq.fr) Matthias Klusch, German Research Center for Artificial Intelligence (DFKI), Germany (klusch@dfki.de) Werner Nutt, German Research Center for Artificial Intelligence (DFKI), Germany (nutt@dfki.de) Ulrike Sattler, LuFG Theoretical Computer Science, RWTH Aachen, Germany (sattler@informatik.rwth-aachen.de)",,Proceedings of the,"Proceedings of the 7th Intl. Workshop KRDB'2000, Berlin, Germany, August 21, 2000.",Proceedings of the,,,,,,,,,,"Proceedings of the 7th International Workshop on Knowledge Representation meets Databases (KRDB 2000), Berlin, Germany, August 21, 2000.",29,2000,https://dblp.org/db/conf/krdb/krdb2000.html
29,http://ceur-ws.org/Vol-30/,30,Infrastructure for Dynamic Business-to-Business Service Outsourcing,ISDO '00 Infrastructure for Dynamic Business-to-Business Service Outsourcing,CAiSE 2000,"Proceedings of the CAISE*00 Workshop on Infrastructure for Dynamic Business-to-Business Service Outsourcing Stockholm, June 5-6, 2000",,ISDO '00 Infrastructure for Dynamic Business-to-Business Service Outsourcing,"Proceedings of the First Workshop at CAiSE*00, Stockholm, Sweden, June 5-6, 2000.",ISDO '00 Infrastructure for Dynamic Business-to-Business Service Outsourcing,,,,,,,,,,"Proceedings of the CAISE*00 Workshop on Infrastructure for Dynamic Business-to-Business Service Outsourcing, ISDO '00, Stockholm, Sweden, June 5-6, 2000.",30,2000,https://dblp.org/db/conf/isdo/isdo2000.html
30,http://ceur-ws.org/Vol-31/,31,ECAI'2000 Workshop on Ontology Learning,KRDB-98,ECAI 2000,"Proceedings of the First Workshop on Ontology Learning OL'2000 Berlin, Germany, August 25, 2000",,ECAI'2000 Workshop on,"Proceedings of the First Workshop on Ontology Learning OL'2000, Berlin, Germany, August 25, 2000.",ECAI'2000 Workshop on,,http://www.wikidata.org/entity/Q113673826,ECAI'2000 Workshop on,http://ceur-ws.org/Vol-31/,KRDB-98,Germany,Berlin,2000/8/25 2:00,2000/8/25 2:00,"ECAI'2000 Workshop on Ontology Learning, Proceedings of the First Workshop on Ontology Learning OL'2000, Berlin, Germany, August 25, 2000. Held in conjunction with the 14th European Conference on Artificial Intelligence ECAI'2000, Berlin, Germany.",31,2000,https://dblp.org/db/conf/ecai/ecai2000ol.html
31,http://ceur-ws.org/Vol-32/,32,Automated Reasoning Workshop 2000: Bridging the Gap between Theory and Practice,ARW 2000,,"Proceedings of the Seventh Workshop on Automated Reasoning, Bridging the Gap between Theory and Practice, King's College London, UK, 20-21 July 2000",,Automated Reasoning Workshop 2000,"Proceedings of the 7th Workshop on Automated Reasoning, London, UK, July 20-21, 2000.",Automated Reasoning Workshop 2000,,http://www.wikidata.org/entity/Q113673827,Automated Reasoning Workshop 2000,http://ceur-ws.org/Vol-32/,ARW 2000,United Kingdom,London,2000/7/20 2:00,2000/7/21 2:00,"Proceedings of the Seventh Workshop on Automated Reasoning, Bridging the Gap between Theory and Practice, King's College London, UK, 20-21 July 2000.",32,2000,https://dblp.org/db/conf/arw/arw2000.html
32,http://ceur-ws.org/Vol-33/,33,Description Logics 2000,Workshop Proceedings DL2000,,"Franz Baader, RWTH Aachen, Germany Ulrike Sattler, RWTH Aachen, Germany",,Proceedings of the,"Proceedings of the 2000 Intl. Workshop on Description Logics, Aachen, Germany, August 17-19, 2000.",Proceedings of the,,http://www.wikidata.org/entity/Q113673829,2000 International Workshop on Description Logics (DL2000),http://ceur-ws.org/Vol-33/,DL 2000,Germany,Aachen,2000/8/17 2:00,2000/8/19 2:00,"Proceedings of the 2000 International Workshop on Description Logics (DL2000), Aachen, Germany, August 17-19, 2000.",33,2000,https://dblp.org/db/conf/dlog/dlog2000.html
33,http://ceur-ws.org/Vol-34/,34,Practical Aspects of Knowledge Management 2000,PAKM2000,Proceedings of Conference,"Proceedings of the Third International Conference Basel, Switzerland, October 30-31, 2000",,?,"Proceedings of the Third International Conference (PAKM 2000), Basel, Switzerland, October 30-31, 2000.",,,,,,,,,,,"PAKM 2000, Third International Conference on Practical Aspects of Knowledge Management, Proceedings of the Third International Conference, Basel, Switzerland, October 30-31, 2000.",34,2000,https://dblp.org/db/conf/pakm/pakm2000.html
34,http://ceur-ws.org/Vol-35/,35,Inductive Logic Programming 2000,ILP2000 Work-in-progress reports,ILP 2000,"James Cussens Alan Frisch Both at Department of Computer Science, University of York, UK",,"Inductive Logic Programming 10th International Conference, ILP 2000 Work-in-progress reports","Proceedings of the 10th International Conference (ILP 2000), London, July 2000.","Inductive Logic Programming 10th International Conference, ILP 2000 Work-in-progress reports",,,,,,,,,,"Inductive Logic Programming, 10th International Conference, ILP 2000, Work-in-progress reports, London, UK, July 2000, Proceedings.",35,2000,https://dblp.org/db/conf/ilp/ilp2000wip.html
35,http://ceur-ws.org/Vol-36/,36,Bildverarbeitung für die Medizin 2001: Algorithmen - Systeme - Anwendungen,WMBV'2001,,Proceedings des Workshops vom 4. bis 6. März 2001 in Lübeck,,Bildverarbeitung für die Medizin 2001,Proceedings des Workshops vom 4. bis 6. März 2001 in Lübeck.,Bildverarbeitung für die Medizin 2001,,http://www.wikidata.org/entity/Q113673832,Bildverarbeitung für die Medizin 2001,http://ceur-ws.org/Vol-36/,WMBV'2001,Germany,Lübeck,2001/3/4 1:00,2000/3/6 1:00,"Bildverarbeitung für die Medizin 2001: Algorithmen, Systeme, Anwendungen, Workshop Proceedings, Lübeck, Germany, March 4-6, 2001.",36,2001,https://dblp.org/db/conf/bildmed/bildmed2001.html
36,http://ceur-ws.org/Vol-37/,37,Geschäftsprozessorientiertes Wissensmanagement - Von der Strategie zum Content,WM-2001,,"Proceedings des Workshops anlässlich der WM'2001 in Baden-Baden, 14-16 März 2001",,Geschäftsprozessorientiertes Wissensmanagement - Von der Strategie zum Content,"Proceedings des Workshops anlässlich der WM'2001 in                                     Baden-Baden, 14-16 März 2001.",Geschäftsprozessorientiertes Wissensmanagement - Von der Strategie zum Content,,http://www.wikidata.org/entity/Q113673833,Geschäftsprozessorientiertes Wissensmanagement - Von der Strategie zum Content,http://ceur-ws.org/Vol-37/,WM-2001,Germany,Baden-Baden,2001/3/14 1:00,2001/3/16 1:00,,,,
37,http://ceur-ws.org/Vol-38/,38,IJCAI'2001 Workshop on Ontology Learning,KRDB-98,IJCAI'2001,"Proceedings of the Second Workshop on Ontology Learning OL'2001 Seattle, USA, August 4, 2001",,IJCAI'2001 Workshop on,"Proceedings of the Second Workshop on Ontology Learning OL'2001, Seattle, USA, August 4, 2001.",IJCAI'2001 Workshop on,,http://www.wikidata.org/entity/Q113673834,IJCAI'2001 Workshop on,http://ceur-ws.org/Vol-38/,KRDB-98,United States of America,Seattle,2001/8/4 2:00,2001/8/4 2:00,"IJCAI'2001 Workshop on Ontology Learning, Proceedings of the Second Workshop on Ontology Learning OL'2001, Seattle, USA, August 4, 2001 (Held in conjunction with the 17th International Conference on Artificial Intelligence IJCAI'2001).",38,2001,https://dblp.org/db/conf/ijcai/ijcai2001ol.html
38,http://ceur-ws.org/Vol-39/,39,Design and Management of Data Warehouses 2001,DMDW-2001,CAiSE*01,"Proceedings of the 3rd Intl. Workshop DMDW'2001, Interlaken, Switzerland, June 4, 2001",,Design and Management of Data Warehouses,"Proceedings of the 3rd Intl. Workshop DMDW'2001 at CAiSE*01, Interlaken, Switzerland, June 4, 2001.",Design and Management of Data Warehouses,,,,,,,,,,"Proceedings of the 3rd Intl. Workshop on Design and Management of Data Warehouses, DMDW'2001, Interlaken, Switzerland, June 4, 2001.",39,2001,https://dblp.org/db/conf/dmdw/dmdw2001.html
