,Column1,vol_url,vol_number,volname,acronym,coloc_conf,ceur_long_title,voltitle,h1,tdtitle,title,loctime,workshop,workshopLabel,ref_url,ShortName,countryLabel,cityLabel,StartTime,EndTime,ProceedingsTitle,Vol_Number.1,Year,dblp_url,ceur_long_title_contained_words,tdtitle_contained_words,volname_contained_words,acronym_contained_words,voltitle_contained_words,h1_contained_words,title_contained_words,workshopLabel_contained_words,ShortName_contained_words
112,109,http://ceur-ws.org/Vol-110/,110,Concept Lattices and their Applications 2004,CLA 2004,nan,"Proceedings of the CLA 2004 International Workshop on Concept Lattices and their Applications Ostrava, Czech Republic, September 23-24, 2004",nan,CLA 2004 Concept Lattices and their Applications,"Proceedings of the International Workshop on  Concept Lattices and their Applications (CLA 2004), Ostrava, Czech Republic, September 23-24, 2004.",CLA 2004 Concept Lattices and their Applications,,http://www.wikidata.org/entity/Q113673626,CLA 2004 Concept Lattices and their Applications,http://ceur-ws.org/Vol-110/,CLA 2004,Czech Republic,Ostrava,2004/9/23 2:00,2004/9/24 2:00,"Proceedings of the CLA 2004 International Workshop on Concept Lattices and their Applications, Ostrava, Czech Republic, September 23-24, 2004.",110.0,2004.0,https://dblp.org/db/conf/cla/cla2004.html,"CLA, CLA","CLA, CLA",,"CLA, CLA",,"CLA, CLA","CLA, CLA","CLA, CLA","CLA, CLA"
120,117,http://ceur-ws.org/Vol-118/,118,Core Ontologies in Ontology Engineering 2004,Core Ontologies in Ontology Engineering'04,nan,"Proceedings of the EKAW*04 Workshop on Core Ontologies in Ontology Engineering Northamptonshire (UK), October 8, 2004",nan,Core Ontologies in Ontology Engineering 2004 (Un)Successful cases and best practices for ontology engineering: reusing well-founded ontologies for domain content specification,"Proceedings of Proceedings of the EKAW*04 Workshop on Core Ontologies in Ontology Engineering, Northamptonshire (UK), October 8, 2004.",Core Ontologies in Ontology Engineering 2004 (Un)Successful cases and best practices for ontology engineering: reusing well-founded ontologies for domain content specification,,http://www.wikidata.org/entity/Q113673637,Workshop on Core Ontologies in Ontology Engineering,http://ceur-ws.org/Vol-118/,Core Ontologies in Ontology Engineering'04,United Kingdom,Whittlebury,2004/10/8 2:00,2004/10/8 2:00,nan,,,,EKAW,EKAW,,,,,,,
129,126,http://ceur-ws.org/Vol-127/,127,"Trust, Security, and Reputation on the Semantic Web 2004","ISWC '04 Trust, Security, and Reputation on the Semantic Web",nan,"Proceedings of the ISWC*04 Workshop on Trust, Security, and Reputation on the Semantic Web Hiroshima, Japan, November 7, 2004",nan,"ISWC '04 Trust, Security, and Reputation on the Semantic Web","Proceedings of the  ISWC*04 Workshop on Trust, Security, and Reputation on the Semantic Web, Hiroshima, Japan, November 7, 2004.","ISWC '04 Trust, Security, and Reputation on the Semantic Web",,http://www.wikidata.org/entity/Q113673651,"ISWC '04 Trust, Security, and Reputation on the Semantic Web",http://ceur-ws.org/Vol-127/,ISWC-TSRSW 2004,Japan,Hiroshima,2004/11/7 1:00,2004/11/7 1:00,"Proceedings of the ISWC*04 Workshop on Trust, Security, and Reputation on the Semantic Web, Hiroshima, Japan, November 7, 2004.",127.0,2005.0,https://dblp.org/db/conf/semweb/iswc2004trust.html,ISWC,ISWC,,ISWC,,ISWC,ISWC,ISWC,ISWC
145,142,http://ceur-ws.org/Vol-143/,143,Interoperability of Web-Based Educational Systems 2005,WWW '05 Interoperability of Web-Based Educational Systems,nan,"Proceedings of the WWW*05 Workshop on Interoperability of Web-Based Educational Systems Chiba, Japan, May 10, 2005",nan,WWW '05 Interoperability of Web-Based Educational Systems,"Proceedings of the WWW*05 Workshop on Interoperability of Web-Based Educational Systems, Chiba, Japan, May 10, 2005.",WWW '05 Interoperability of Web-Based Educational Systems,,http://www.wikidata.org/entity/Q113673670,WWW '05 Interoperability of Web-Based Educational Systems,http://ceur-ws.org/Vol-143/,WWW '05,Japan,Chiba,2005/5/10 2:00,2005/5/10 2:00,nan,,,,WWW,WWW,,WWW,,WWW,WWW,WWW,WWW
148,145,http://ceur-ws.org/Vol-146/,146,Modeling and Retrieval of Context 2005,MRC 2005,nan,"Proceedings of the IJCAI-05 Workshop on Modeling and Retrieval of Context Edinburgh, July 31 - August 1, 2005",nan,MRC '05 Second International Workshop on Modeling and Retrieval of Context,"Proceedings of the Second International Workshop Modeling and Retrieval of Context (MRC-2005), Edinburgh, UK, July 31 - August 1, 2005.",MRC '05 Second International Workshop on Modeling and Retrieval of Context,,http://www.wikidata.org/entity/Q113673675,MRC '05 Second International Workshop on Modeling and Retrieval of Context,http://ceur-ws.org/Vol-146/,MRC 2005,United Kingdom,Edinburgh,2005/7/31 2:00,2005/8/1 2:00,"Proceedings of the IJCAI-05 Workshop on Modeling and Retrieval of Context Edinburgh, July 31 - August 1, 2005.",146.0,2005.0,https://dblp.org/db/conf/ijcai/mrc2005.html,IJCAI,,,,,,,,
157,154,http://ceur-ws.org/Vol-155/,155,nan,SWCASE'05,nan,"Proceedings of the ISWC 2005 Workshop on Semantic Web Case Studies and Best Practices for eBusiness Galway, Ireland, 7 November 2005",nan,SWCASE'05 Semantic Web Case Studies and Best Practices for eBusiness,"Proceedings of the ISWC 2005 Workshop on Semantic Web Case Studies and Best Practices for eBusiness (SWCASE-2005), Galway, Ireland, November 7, 2005.",SWCASE'05 Semantic Web Case Studies and Best Practices for eBusiness,,http://www.wikidata.org/entity/Q113673481,SWCASE'05 Semantic Web Case Studies and Best Practices for eBusiness,http://ceur-ws.org/Vol-155/,SWCASE'05,Republic of Ireland,Galway,2005/11/7 1:00,2005/11/7 1:00,nan,,,,ISWC,ISWC,,,,,,,
159,156,http://ceur-ws.org/Vol-157/,157,Desarrollo Dirigido por Modelos - MDA y Aplicaciones 2005,DSDM '05,nan,"Actas del Taller sobreDesarrollo Dirigido por Modelos. MDA y Aplicaciones. Granada, España, Septiembre 13, 2005",nan,DSDM '05 II Taller sobre Desarrollo Dirigido por Modelos. MDA y Aplicaciones,"Actas del Taller sobre Desarrollo Dirigido por Modelos - MDA y Aplicaciones, Granada, Spain, September 13, 2005.",DSDM '05 II Taller sobre Desarrollo Dirigido por Modelos. MDA y Aplicaciones,,http://www.wikidata.org/entity/Q113673483,DSDM '05 II Taller sobre Desarrollo Dirigido por Modelos. MDA y Aplicaciones,http://ceur-ws.org/Vol-157/,DSDM'05,Spain,Granada,2005/9/13 2:00,2005/9/13 2:00,"Actas del Taller sobre Desarrollo Dirigido por Modelos, MDA y Aplicaciones, Granada, España, Septiembre 13, 2005.",157.0,2005.0,https://dblp.org/db/conf/dsdm/dsdm2005.html,,,,SDM,,SDM,SDM,SDM,SDM
160,157,http://ceur-ws.org/Vol-158/,158,Safety and Context 2005,CEUR Workshop Safetyu and Context '05,nan,"Proceedings of the CONTEXT-05 Workshop on Safety and Context Paris, France, July 5, 2005",nan,Safety and Context 2005,"Proceedings of the CONTEXT-05 Workshop on Safety and Context, Paris, France, July 5, 2005.",Safety and Context 2005,,http://www.wikidata.org/entity/Q113673485,Safety and Context 2005,http://ceur-ws.org/Vol-158/,CEUR Workshop Safetyu and Context '05,France,Paris,2005/7/5 2:00,2005/7/5 2:00,"Proceedings of the CONTEXT-05 Workshop on Safety and Context, Paris, France, July 5, 2005.",158.0,2005.0,https://dblp.org/db/conf/context/context2005w.html,CONTEXT,CONTEXT,,,,,,,
164,161,http://ceur-ws.org/Vol-162/,162,Concept Lattices and their Applications 2005,CLA 2005,nan,"Proceedings of the CLA 2005 International Workshop on Concept Lattices and their Applications Olomouc, Czech Republic, September 7-9, 2005",nan,CLA 2005 Concept Lattices and their Applications,"Proceedings of the International Workshop on Concept Lattices and their Applications, Olomouc, Czech Republic, September 7-9, 2005.",CLA 2005 Concept Lattices and their Applications,,http://www.wikidata.org/entity/Q113673489,CLA 2005 Concept Lattices and their Applications,http://ceur-ws.org/Vol-162/,CLA 2005,Czech Republic,Olomouc,2005/9/7 2:00,2005/9/9 2:00,"Proceedings of the CLA 2005 International Workshop on Concept Lattices and their Applications Olomouc, Czech Republic, September 7-9, 2005.",162.0,2005.0,https://dblp.org/db/conf/cla/cla2005.html,"CLA, CLA",,,"CLA, CLA",,"CLA, CLA","CLA, CLA","CLA, CLA","CLA, CLA"
173,170,http://ceur-ws.org/Vol-171/,171,Semantic Network Analysis 2005,SNA '05,nan,"Proceedings of the ISWC 2005 Workshop on Semantic Network Analysis Galway, Ireland, November 7, 2005",nan,SNA 2005 Semantic Network Analysis,"Proceedings of the ISWC 2005 Workshop on Semantic Network Analysis, Galway, Ireland, November 7, 2005.",SNA 2005 Semantic Network Analysis,,http://www.wikidata.org/entity/Q113673510,SNA 2005 Semantic Network Analysis,http://ceur-ws.org/Vol-171/,SNA '05,Republic of Ireland,Galway,2005/11/7 1:00,2005/11/7 1:00,nan,,,,ISWC,ISWC,,,,,,,
175,172,http://ceur-ws.org/Vol-173/,173,Uncertainty Reasoning for the Semantic Web 2005,URSW '05,nan,"Proceedings of the ISWC Workshop on Uncertainty Reasoning for the Semantic Web Galway, Ireland, November 7, 2005",nan,URSW '05 Uncertainty Reasoning for the Semantic Web,"Proceedings of the ISWC Workshop on Uncertainty Reasoning for the Semantic Web, Galway, Ireland, November 7, 2005.",URSW '05 Uncertainty Reasoning for the Semantic Web,,http://www.wikidata.org/entity/Q113673512,URSW '05 Uncertainty Reasoning for the Semantic Web,http://ceur-ws.org/Vol-173/,URSW '05,Republic of Ireland,Galway,2005/11/7 1:00,2005/11/7 1:00,nan,,,,ISWC,ISWC,,,,,,,
183,180,http://ceur-ws.org/Vol-181/,181,Scripting for the Semantic Web 2006,SFSW '06,nan,"Proceedings of the ESWC'06 Workshop on Scripting for the Semantic Web Budva / Montenegro, June 12, 2006",nan,SFSW '06 Scripting for the Semantic Web,"Proceedings of the  ESWC'06 Workshop on Scripting for the Semantic Web, Budva, Montenegro, June 12, 2006.",SFSW '06 Scripting for the Semantic Web,,http://www.wikidata.org/entity/Q113673523,SFSW '06 Scripting for the Semantic Web,http://ceur-ws.org/Vol-181/,SFSW '06,Montenegro,Budva,2006/6/12 2:00,2006/6/12 2:00,nan,,,,"ESWC, ESWC, ESWC","ESWC, ESWC, ESWC",,,,,,,
192,189,http://ceur-ws.org/Vol-190/,190,Models of Trust for the Web 2006,MTW 2006,nan,"Proceedings of the WWW'06 Workshop on Models of Trust for the Web (MTW'06) Edinburgh, Scotland, May 22, 2006",nan,WWW '06 Models of Trust for the Web (MTW'06),"Proceedings of the WWW'06 Workshop on Models of Trust for the Web (MTW'06), Edingburgh, Scotland, May 22, 2006.",WWW '06 Models of Trust for the Web (MTW'06),,http://www.wikidata.org/entity/Q113673539,WWW '06 Models of Trust for the Web (MTW'06),http://ceur-ws.org/Vol-190/,MTW 2006,Republic of Ireland,Edinburgh,2006/5/22 2:00,2006/5/22 2:00,"Proceedings of the WWW'06 Workshop on Models of Trust for the Web (MTW'06), Edinburgh, Scotland, UK, May 22, 2006.",190.0,2006.0,https://dblp.org/db/conf/mtw/mtw2006.html,WWW,WWW,,,,WWW,WWW,WWW,
193,190,,191,nan,nan,nan,nan,nan,?,"Proceedings of the WWW'06 Workshop on Models of Trust for the Web (MTW'06), Edingburgh, Scotland, May 22, 2006.",nan,,,nan,,nan,,,,,nan,,,,,WWW,,,,,,,
194,191,http://ceur-ws.org/Vol-192/,192,Empirically Successful Computerized Reasoning 2006,ESCoR,nan,"Proceedings of the FLoC'06 Workshop on Empirically Successful Computerized Reasoning Seattle, USA, August 22, 2006",nan,ESCoR 2006 Empirically Successful Computerized Reasoning,"Proceedings of the FLoC'06 Workshop on Empirically Successful Computerized Reasoning, Seattle, USA, August 22, 2006.",ESCoR 2006 Empirically Successful Computerized Reasoning,,http://www.wikidata.org/entity/Q113673542,ESCoR 2006 Empirically Successful Computerized Reasoning,http://ceur-ws.org/Vol-192/,ESCoR 2006,United States of America,Seattle,2006/8/22 2:00,2006/8/22 2:00,nan,,,,FLoC,FLoC,,,,,,,
196,193,http://ceur-ws.org/Vol-194/,194,ESWC 2006 Industry Forum,ESWC 2006,nan,"ESWC'06 Industry Forum Budva, Montenegro, June 12, 2006",nan,ESWC 2006,"Proceedings of the ESWC 2006 Industry Forum, Budva, Montenegro, June 12, 2006.",ESWC 2006,,http://www.wikidata.org/entity/Q113673544,ESWC 2006,http://ceur-ws.org/Vol-194/,How Business application challenges Semantic Web Research,Montenegro,Budva,2006/6/12 2:00,2006/6/12 2:00,nan,,,,"ESWC, ESWC, ESWC","ESWC, ESWC, ESWC","ESWC, ESWC, ESWC","ESWC, ESWC, ESWC",,"ESWC, ESWC, ESWC","ESWC, ESWC, ESWC","ESWC, ESWC, ESWC",
200,197,http://ceur-ws.org/Vol-198/,198,The Many Faces of Consistency in Cross Platform Design 2006,MAFOC '06,nan,"Proceedings of the CHI*06 Workshop on The Many Faces of Consistency in Cross Platform Design Montreal, Canada, April 22-23, 2006",nan,MAFOC '06 The Many Faces of Consistency in Cross-Platform Design,"Proceedings of the CHI*06 Workshop on The Many Faces of Consistency in Cross Platform Design, Montreal, Canada, April 20-23, 2006.",MAFOC '06 The Many Faces of Consistency in Cross-Platform Design,,http://www.wikidata.org/entity/Q113673548,MAFOC '06 The Many Faces of Consistency in Cross-Platform Design,http://ceur-ws.org/Vol-198/,MAFOC '06,Canada,Montreal,2006/4/20 2:00,2006/4/23 2:00,nan,,,,CHI,CHI,,,,,,,
209,206,http://ceur-ws.org/Vol-207/,207,Semantic Web Policy Workshop 2006,SWPW'06 2nd Semantic Web Policy Workshop,nan,"Proceedings of the ISWC'06 Workshop on Semantic Web Policy (SWPW'06) Athens, Georgia, USA, November 5, 2006",nan,SWPW'06 2nd Semantic Web Policy Workshop,"Proceedings of the Workshop on Semantic Web Policy (SWPW-2006), Athens, Georgia, USA, November 5, 2006.",SWPW'06 2nd Semantic Web Policy Workshop,,http://www.wikidata.org/entity/Q113673311,SWPW'06 2nd Semantic Web Policy Workshop,http://ceur-ws.org/Vol-207/,SWPW'06,United States of America,Athens,2006/11/5 1:00,2006/11/5 1:00,nan,,,,ISWC,,,,,,,,
220,217,http://ceur-ws.org/Vol-218/,218,Uncertainty Reasoning for the Semantic Web 2006,URSW '06,nan,"Proceedings of the Second ISWC Workshop on Uncertainty Reasoning for the Semantic Web Athens, Georgia, USA, November 5, 2006",nan,URSW '06 Uncertainty Reasoning for the Semantic Web - Volume 2,"Proceedings of the Second ISWC Workshop on Uncertainty Reasoning for the Semantic Web (URSW-2006), Athens, Georgia, USA, November 5, 2006.",URSW '06 Uncertainty Reasoning for the Semantic Web - Volume 2,,http://www.wikidata.org/entity/Q113673328,URSW '06 Uncertainty Reasoning for the Semantic Web - Volume 2,http://ceur-ws.org/Vol-218/,URSW '06,United States of America,Athens,2006/11/5 1:00,2006/11/5 1:00,"Proceedings of the Second ISWC Workshop on Uncertainty Reasoning for the Semantic Web, Athens, Georgia, USA, November 5, 2006.",218.0,2006.0,https://dblp.org/db/conf/semweb/ursw2006.html,ISWC,ISWC,,,,,,,
229,226,http://ceur-ws.org/Vol-227/,227,Desarrollo Dirigido por Modelos - MDA y Aplicaciones 2006,DSDM'06,nan,"Actas del Taller sobreDesarrollo Dirigido por Modelos. MDA y Aplicaciones. Sitges (Spain), October 3, 2006",nan,DSDM '06 III Taller sobre Desarrollo Dirigido por Modelos. MDA y Aplicaciones,"Actas del Taller sobre Desarrollo Dirigido por Modelos - MDA y Aplicaciones, Sitges, Spain, October 3, 2006.",DSDM '06 III Taller sobre Desarrollo Dirigido por Modelos. MDA y Aplicaciones,,http://www.wikidata.org/entity/Q113673340,DSDM '06 III Taller sobre Desarrollo Dirigido por Modelos. MDA y Aplicaciones,http://ceur-ws.org/Vol-227/,DSDM'06,Spain,Sitges,2006/10/3 2:00,2006/10/3 2:00,"Actas del Taller sobre Desarrollo de Software Dirigido por Modelos. MDA y Aplicaciones. Sitges, Spain, October 3, 2006.",227.0,2007.0,https://dblp.org/db/conf/dsdm/dsdm2006.html,,,,SDM,,SDM,SDM,SDM,SDM
232,229,http://ceur-ws.org/Vol-230/,230,Neural-Symbolic Learning and Reasoning 2007,NeSy'07 Neural-Symbolic Learning and Reasoning 3rd International Workshop,nan,"Proceedings of the 3rd International Workshop on Neural-Symbolic Learning and Reasoning, NeSy'07, held at IJCAI-07, Hyderabad, India, January 8, 2007",nan,NeSy'07 Neural-Symbolic Learning and Reasoning 3rd International Workshop,"Proceedings of the 3rd International Workshop on Neural-Symbolic Learning and Reasoning (NESY-2007), Hyderabad, India, January 8, 2007.",NeSy'07 Neural-Symbolic Learning and Reasoning 3rd International Workshop,,http://www.wikidata.org/entity/Q113673350,NeSy'07 Neural-Symbolic Learning and Reasoning 3rd International Workshop,http://ceur-ws.org/Vol-230/,NeSy'07,India,Hyderabad,2007/1/8 1:00,2007/1/8 1:00,"Proceedings of the 3rd International Workshop on Neural-Symbolic Learning and Reasoning, NeSy'07, held at IJCAI-07, Hyderabad, India, January 8, 2007.",230.0,2007.0,https://dblp.org/db/conf/ijcai/nesy2007.html,IJCAI,,,,,,,,
236,233,http://ceur-ws.org/Vol-234/,234,Emerging Web Services Technology 2006,WEWST06,nan,"Proceedings of the ECOWS06 Workshop on Emerging Web Services Technology Zurich, Switzerland, December 4, 2006",nan,WEWST06 Workshop on Emerging Web Services Technology,"Proceedings of the Workshop on Emerging Web Services Technology (WEWST-2006), Zurich, Switzerland, December 4, 2006.",WEWST06 Workshop on Emerging Web Services Technology,,http://www.wikidata.org/entity/Q113673358,WEWST06 Workshop on Emerging Web Services Technology,http://ceur-ws.org/Vol-234/,WEWST06,Switzerland,Zürich,2006/12/4 1:00,2006/12/4 1:00,"Proceedings of the ECOWS06 Workshop on Emerging Web Services Technology, WEWST@ECOWS 2006, Zurich, Switzerland, December 4, 2006.",234.0,2006.0,https://dblp.org/db/conf/ecows/wewst2006.html,ECOWS,,,,,,,,
238,235,http://ceur-ws.org/Vol-236/,236,"Business Process Modelling, Development, and Support 2006","BPMDS '06 SEVENTH WORKSHOP ON BUSINESS PROCESS MODELING, DEVELOPMENT, AND SUPPORT: REQUIREMENTS FOR FLEXIBILITY AND THE WAYS TO ACHIEVE IT",nan,"Proceedings of the CAISE*06 Workshop on Business Process Modelling, Development, and SupportBPMDS '06 Luxemburg, June 5-9, 2006",nan,"BPMDS '06 SEVENTH WORKSHOP ON BUSINESS PROCESS MODELING, DEVELOPMENT, AND SUPPORT: REQUIREMENTS FOR FLEXIBILITY AND THE WAYS TO ACHIEVE IT","Proceedings of the CAISE*06 Workshop on Business Process Modelling, Development, and Support (BPMDS-2006)  Luxemburg, June 5-9, 2006.","BPMDS '06 SEVENTH WORKSHOP ON BUSINESS PROCESS MODELING, DEVELOPMENT, AND SUPPORT: REQUIREMENTS FOR FLEXIBILITY AND THE WAYS TO ACHIEVE IT",,http://www.wikidata.org/entity/Q113673361,"BPMDS '06 SEVENTH WORKSHOP ON BUSINESS PROCESS MODELING, DEVELOPMENT, AND SUPPORT: REQUIREMENTS FOR FLEXIBILITY AND THE WAYS TO ACHIEVE IT",http://ceur-ws.org/Vol-236/,BPMDS '06,Luxembourg,Luxembourg,2006/6/5 2:00,2006/6/9 2:00,"Proceedings of the CAISE*06 Workshop on Business Process Modelling, Development, and Support BPMDS '06, Luxemburg, June 5-9, 2006.",236.0,2007.0,https://dblp.org/db/conf/caise/bpmds2006.html,"BPM, BPM","BPM, BPM",,"BPM, BPM, CHI",,"BPM, BPM, CHI","BPM, BPM, CHI","BPM, BPM, CHI","BPM, BPM"
242,239,http://ceur-ws.org/Vol-240/,240,Philosophical Foundations on Information Systems Engineering 2006,PHISE' 06 A WORKSHOP ON PHILOSOPHICAL FOUNDATIONS ON INFORMATION SYSTEMS ENGINEERING,nan,"Proceedings of the CAISE*06 Workshop on Philosophical Foundations on Information Systems EngineeringPhiSE '06Luxemburg, June 5-9, 2006",nan,PHISE' 06 A WORKSHOP ON PHILOSOPHICAL FOUNDATIONS ON INFORMATION SYSTEMS ENGINEERING,"Proceedings of the CAISE*06 Workshop on Philosophical Foundations on Information Systems Engineering (PHiSE-2006)  Luxemburg, June 5-9, 2006.",PHISE' 06 A WORKSHOP ON PHILOSOPHICAL FOUNDATIONS ON INFORMATION SYSTEMS ENGINEERING,,http://www.wikidata.org/entity/Q113673367,PHISE' 06 A WORKSHOP ON PHILOSOPHICAL FOUNDATIONS ON INFORMATION SYSTEMS ENGINEERING,http://ceur-ws.org/Vol-240/,PHISE' 06,Luxembourg,Luxembourg,2006/6/5 2:00,2006/6/9 2:00,"Proceedings of the CAISE*06 Workshop on Philosophical Foundations on Information Systems Engineering PhiSE '06, Luxemburg, June 5-9, 2006.",240.0,2007.0,https://dblp.org/db/conf/caise/phise2006.html,,,,INFO,,INFO,INFO,INFO,
244,241,http://ceur-ws.org/Vol-242/,242,Ubiquitous Mobile Information and Collaboration Systems 2006,UMICS '06 UBIQUITOUS MOBILE INFORMATION AND COLLABORATION SYSTEMS,nan,"Proceedings of the CAISE*06 Workshop on Ubiquitous Mobile Information and Collaboration SystemsUMICS '06Luxemburg, June 5-9, 2006",nan,UMICS '06 UBIQUITOUS MOBILE INFORMATION AND COLLABORATION SYSTEMS,"Proceedings of the CAISE*06 Workshop on Ubiquitous Mobile Information and Collaboration Systems (UMICS-2006), Luxemburg, June 5-9, 2006.",UMICS '06 UBIQUITOUS MOBILE INFORMATION AND COLLABORATION SYSTEMS,,http://www.wikidata.org/entity/Q113673370,UMICS '06 UBIQUITOUS MOBILE INFORMATION AND COLLABORATION SYSTEMS,http://ceur-ws.org/Vol-242/,UMICS '06,Luxembourg,Luxembourg,2006/6/5 2:00,2006/6/9 2:00,"Proceedings of the CAISE*06 Workshop on Ubiquitous Mobile Information and Collaboration Systems UMICS '06, Luxemburg, June 5-9, 2006.",242.0,2007.0,https://dblp.org/db/conf/caise/umics2006.html,,,,INFO,,INFO,INFO,INFO,
250,247,http://ceur-ws.org/Vol-248/,248,Scripting for the Semantic Web 2007,SFSW '07,nan,"Proceedings of the ESWC'07 Workshop on Scripting for the Semantic Web Innsbruck / Austria, May 30, 2007",nan,SFSW '07 Scripting for the Semantic Web,"Proceedings of the ESWC'07 Workshop on Scripting for the Semantic Web (SFSW-2007), Innsbruck, Austria, May 30, 2007.",SFSW '07 Scripting for the Semantic Web,,http://www.wikidata.org/entity/Q113673378,SFSW '07 Scripting for the Semantic Web,http://ceur-ws.org/Vol-248/,SFSW '07,Austria,Innsbruck,2007/5/30 2:00,2007/5/30 2:00,"Proceedings of the ESWC'07 Workshop on Scripting for the Semantic Web, SFSW 2007, Innsbruck, Austria, May 30, 2007.",248.0,2007.0,https://dblp.org/db/conf/esws/sfsw2007.html,"ESWC, ESWC, ESWC","ESWC, ESWC, ESWC",,,,,,,
267,264,http://ceur-ws.org/Vol-265/,265,Correspondence and Equivalence for Nonmonotonic Theories 2007,CENT2007,nan,"Proceedings of the LPNMR'07 Workshop on Correspondence and Equivalence for Nonmonotonic Theories (CENT2007) http://www.kr.tuwien.ac.at/cent2007/ Tempe, AZ, May 14, 2007",nan,CENT 2007 Correspondence and Equivalence for Nonmonotonic Theories,"Proceedings of the LPNMR'07 Workshop on Correspondence and Equivalence for Nonmonotonic Theories (CENT-2007), Tempe, AZ, USA, May 14, 2007.",CENT 2007 Correspondence and Equivalence for Nonmonotonic Theories,,http://www.wikidata.org/entity/Q113673254,CENT 2007 Correspondence and Equivalence for Nonmonotonic Theories,http://ceur-ws.org/Vol-265/,CENT2007,United States of America,Tempe,2007/5/14 2:00,2007/5/14 2:00,"Proceedings of the LPNMR'07 Workshop on Correspondence and Equivalence for Nonmonotonic Theories (CENT2007), Tempe, AZ, USA, May 14, 2007.",265.0,2007.0,https://dblp.org/db/conf/lpnmr/cent2007.html,LPNMR,LPNMR,,,,,,,
272,269,http://ceur-ws.org/Vol-270/,270,Representation Models and Techniques for Improving E-Learning 2007,ReTIeL '07 International Workshop on Representation Models and Techniques for Improving E-Learning: Bringing Context into Web-based Education,nan,"Proceedings of the CONTEXT'07 Workshop on Representation Models and Techniques for Improving E-Learning ReTIeL 07 Roskilde University, Denmark, August 20, 2007",nan,ReTIeL '07 International Workshop on Representation Models and Techniques for Improving E-Learning: Bringing Context into Web-based Education,"Proceedings of the CONTEXT'07 Workshop on Representation Models and Techniques for Improving E-Learning (ReTIeL-2007), Roskilde University, Denmark, August 20, 2007.",ReTIeL '07 International Workshop on Representation Models and Techniques for Improving E-Learning: Bringing Context into Web-based Education,,http://www.wikidata.org/entity/Q113673261,ReTIeL '07 International Workshop on Representation Models and Techniques for Improving E-Learning: Bringing Context into Web-based Education,http://ceur-ws.org/Vol-270/,ReTIeL '07,Denmark,Roskilde,2007/8/20 2:00,2007/8/20 2:00,"Proceedings of the CONTEXT 2007 Workshop on Representation Models and Techniques for Improving E-Learning ReTIeL 2007, Roskilde University, Denmark, August 20, 2007.",270.0,2007.0,https://dblp.org/db/conf/context/retiel2007.html,CONTEXT,CONTEXT,,,,,,,
278,275,http://ceur-ws.org/Vol-276/,276,"Plagiarism Analysis, Authorship Identification, and Near-Duplicate Detection 2007",Workshop Proceedings PAN '07,nan,"Proceedings of the SIGIR'07 International Workshop on Plagiarism Analysis, Authorship Identification, and Near-Duplicate Detection Amsterdam, Netherlands, July 27, 2007",nan,"PAN-07 Plagiarism Analysis, Authorship Identification, and Near-Duplicate Detection","Proceedings of the SIGIR'07 International Workshop on Plagiarism Analysis, Authorship Identification, and Near-Duplicate Detection (PAN-2007), Amsterdam, Netherlands, July 27, 2007.","PAN-07 Plagiarism Analysis, Authorship Identification, and Near-Duplicate Detection",,http://www.wikidata.org/entity/Q113673269,"PAN-07 Plagiarism Analysis, Authorship Identification, and Near-Duplicate Detection",http://ceur-ws.org/Vol-276/,Workshop Proceedings PAN '07,Netherlands,Amsterdam,2007/7/27 2:00,2007/7/27 2:00,"Proceedings of the SIGIR 2007 International Workshop on Plagiarism Analysis, Authorship Identification, and Near-Duplicate Detection, PAN 2007, Amsterdam, Netherlands, July 27, 2007.",276.0,2007.0,https://dblp.org/db/conf/sigir/pan2007.html,SIGIR,SIGIR,,,,,,,
292,289,http://ceur-ws.org/Vol-290/,290,Finding Experts on the Web with Semantics 2007,FEWS'07,nan,"Proceedings of the 2nd International Workshop on Finding Experts on the Web with Semantics FEWS'07 ISWC 2007 + ASCW 2007; Busan, Korea, November 12, 2007",nan,FEWS'07 2nd International ExpertFinder Workshop (FEWS'07),"Proceedings of the 2nd International Workshop on Finding Experts on the Web with Semantics (FEWS-2007), Busan, Korea, November 12, 2007.",FEWS'07 2nd International ExpertFinder Workshop (FEWS'07),,http://www.wikidata.org/entity/Q113673286,FEWS'07 2nd International ExpertFinder Workshop (FEWS'07),http://ceur-ws.org/Vol-290/,FEWS'07,South Korea,Busan,2007/11/12 1:00,2007/11/12 1:00,"Proceedings of the 2nd International ISWC+ASWC Workshop on Finding Experts on the Web with Semantics, Busan, Korea, November 12, 2007.",290.0,2007.0,https://dblp.org/db/conf/fews/fews2007.html,ISWC,,,,,,,,
